"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Carya"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Ilex"	"Iridaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Ligustrum"	"Liliaceae"	"Myrica"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Pterocarya"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Solanaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Verbenaceae"	"Viburnum"
3114	4056	"Le Fourneau"	48.44444	-0.19167	128	"AWI"	128	12669	13586	13155	0	0	0	1	1	0	5	0	10	37	0	0	0	0	0	4	0	0	0	0	1	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	15	0	0	0	0	5	1	0	0	0	0
3114	4056	"Le Fourneau"	48.44444	-0.19167	130	"AWI"	130	12848	13750	13355	0	0	0	0	2	0	2	0	12	6	0	0	0	0	0	5	0	3	0	0	0	2	16	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	2	0	0	5	0	0	0	0	0
3114	4056	"Le Fourneau"	48.44444	-0.19167	132	"AWI"	132	13240	13879	13528	0	0	5	0	1	0	6	0	10	7	0	0	0	0	0	3	0	2	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	5	0	0	0	0	4	0	0	0	0	0
3114	4056	"Le Fourneau"	48.44444	-0.19167	135	"AWI"	135	13443	14313	13812	0	0	0	0	1	0	5	0	7	1	0	0	0	0	0	3	0	1	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	3	0	0	0	0	0
3114	4056	"Le Fourneau"	48.44444	-0.19167	140	"AWI"	140	13725	14848	14232	0	0	33	2	4	0	22	0	69	6	0	3	0	0	0	2	0	1	0	0	19	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	10	0	0	0	0	0	5	0	29	0	1	0	0	3	6	2	0	0	0
3114	4056	"Le Fourneau"	48.44444	-0.19167	145	"AWI"	145	14145	15235	14652	0	0	32	0	4	0	12	0	24	0	0	2	0	0	0	2	0	1	0	0	16	1	99	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	7	0	0	0	0	0	7	0	39	0	1	0	1	2	4	2	0	0	0
3114	4056	"Le Fourneau"	48.44444	-0.19167	148	"AWI"	148	14329	15793	14948	0	0	6	3	2	0	9	0	6	34	0	0	0	0	0	6	0	1	0	0	3	1	62	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	19	0	0	0	0	9	0	0	0	0	0
3114	4056	"Le Fourneau"	48.44444	-0.19167	150	"AWI"	150	14402	16335	15118	0	0	1	2	1	0	2	0	12	55	0	0	0	0	0	3	0	0	0	0	0	2	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	10	0	0	0	0	6	0	0	0	0	0
3114	4056	"Le Fourneau"	48.44444	-0.19167	152.5	"AWI"	152.5	14582.5	16608	15393	0	0	0	0	0	0	5	0	6	12	0	0	0	0	0	5	0	3	0	0	0	1	28	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	11	0	0	0	0	2	0	0	0	0	0
3114	4056	"Le Fourneau"	48.44444	-0.19167	155	"AWI"	155	14696	17071	15641	0	0	0	2	0	0	0	0	5	34	0	0	0	0	0	4	0	0	0	0	0	4	34	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	18	0	0	0	0	5	0	0	0	0	0
