"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Geraniaceae"	"Grossulariaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Linaceae"	"Loranthaceae"	"Lythraceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygalaceae"	"Polygonaceae"	"Primulaceae"	"Prunus"	"Pyrus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
14635	22955	"Tlstá hora"	48.89417	17.88861	240	"AWI"	240	3060	4002	3563	2	5	17	0	1	0	5	0	7	0	3	0	0	0	0	0	3	12	0	0	0	283	0	3	0	0	0	0	0	0	0	0	0	0	0	9	21	34	0	0	0	0	0	1	0	53	0	0	0	0	2	0	0	0	0	0	1	59	7	0	0	0
14635	22955	"Tlstá hora"	48.89417	17.88861	250	"AWI"	250	3301	4326	3855	12	3	9	1	0	0	8	0	7	0	4	0	0	0	0	1	7	3	0	0	0	340	0	3	0	0	0	1	0	0	0	0	0	0	0	11	11	36	0	0	0	0	0	0	0	44	0	0	0	0	5	2	0	0	0	1	0	18	11	0	0	0
14635	22955	"Tlstá hora"	48.89417	17.88861	256	"AWI"	256	3615	4378	4019	11	8	8	0	1	1	4	0	8	0	3	0	0	0	0	0	17	23	0	0	0	322	0	6	0	0	0	1	0	0	0	0	0	0	0	6	19	30	0	0	0	0	0	0	0	43	0	0	0	0	1	3	0	0	0	1	0	17	10	1	0	0
14635	22955	"Tlstá hora"	48.89417	17.88861	260	"AWI"	260	3799	4432	4134	8	11	9	1	1	1	3	0	5	0	1	0	0	0	0	0	9	18	0	0	0	349	0	1	1	0	0	0	0	0	0	0	0	0	0	8	24	33	0	0	0	0	0	0	0	37	0	0	0	0	2	0	0	0	0	0	0	10	6	1	0	0
14635	22955	"Tlstá hora"	48.89417	17.88861	265	"AWI"	265	3958	4539	4278	6	9	8	0	0	1	5	0	5	0	0	0	0	0	0	0	3	7	0	0	0	359	0	2	0	0	0	0	0	0	0	0	0	0	0	1	28	28	0	0	0	0	0	3	0	32	0	0	0	0	1	1	0	0	0	1	0	22	6	0	0	0
14635	22955	"Tlstá hora"	48.89417	17.88861	270	"AWI"	270	4033	4704	4379	6	9	17	0	2	2	4	0	7	0	2	0	0	0	0	0	12	14	0	0	0	304	0	2	0	0	0	0	0	0	0	0	0	0	0	3	21	33	0	0	1	0	0	0	0	42	0	0	0	0	1	0	0	0	0	0	0	38	12	0	0	0
14635	22955	"Tlstá hora"	48.89417	17.88861	275	"AWI"	275	4096	4928	4461	4	11	18	0	1	2	2	0	7	0	2	0	0	0	0	0	4	6	0	0	0	251	0	2	0	0	1	0	0	0	0	0	0	0	0	5	19	38	0	0	0	0	0	5	0	38	0	0	1	0	0	0	0	0	0	0	0	94	9	0	0	0
14635	22955	"Tlstá hora"	48.89417	17.88861	279	"AWI"	279	4126	5145	4523	8	16	14	0	0	0	3	0	6	0	2	0	0	0	0	1	5	2	0	0	0	249	0	1	0	0	1	0	0	0	0	0	0	0	0	7	33	30	0	0	0	0	0	6	0	37	0	0	0	0	2	1	0	0	0	1	0	81	11	0	0	0
14635	22955	"Tlstá hora"	48.89417	17.88861	283	"AWI"	283	4153	5373	4584	2	14	23	1	0	3	10	0	14	0	8	0	0	0	0	1	22	23	0	0	0	202	0	3	0	0	3	0	0	0	0	0	0	0	0	5	17	37	0	0	0	0	0	7	0	45	0	0	1	0	1	0	0	0	0	0	0	92	9	0	0	0
14635	22955	"Tlstá hora"	48.89417	17.88861	285	"AWI"	285	4166	5490	4614	4	13	22	5	2	0	8	0	6	0	2	0	0	0	0	0	9	11	0	0	0	178	0	8	0	0	2	0	0	0	0	0	0	0	0	5	16	39	0	0	0	0	0	6	0	47	0	0	0	0	2	1	0	2	0	0	0	131	18	0	0	0
