"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Juglans"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Lythraceae"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
3374	4375	"Grand Ratz le Pellet"	45.425	5.60833	250	"AWI"	250	9374	10676	9999	0	1	1	0	0	2	2	0	1	0	0	0	0	0	0	0	0	0	105	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	143	0	0	0	13	1	2	0	0	1	0	7	0	0	0	0	1	20	20	0	0
3374	4375	"Grand Ratz le Pellet"	45.425	5.60833	255	"AWI"	255	9499	10844	10142	0	0	1	1	0	0	13	0	64	0	0	0	0	0	0	1	0	2	7	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	117	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	1	0	0	0	0
3374	4375	"Grand Ratz le Pellet"	45.425	5.60833	260	"AWI"	260	9578	11094	10278	0	0	0	0	0	0	9	0	83	0	0	0	0	0	0	1	0	1	10	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	162	0	0	0	7	0	8	0	0	0	0	4	0	0	0	0	1	2	2	0	0
3374	4375	"Grand Ratz le Pellet"	45.425	5.60833	265	"AWI"	265	9646	11396	10401	0	0	0	1	0	0	3	0	74	0	0	0	0	0	0	0	0	1	7	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	184	0	0	0	5	0	5	0	0	0	0	1	0	0	0	0	1	0	0	0	0
3374	4375	"Grand Ratz le Pellet"	45.425	5.60833	270	"AWI"	270	9723	11666	10532	0	0	0	0	0	0	8	0	90	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	73	0	0	0	2	0	5	0	0	1	0	12	0	0	0	0	0	0	0	0	0
3374	4375	"Grand Ratz le Pellet"	45.425	5.60833	275	"AWI"	275	9878	11776	10677	0	0	0	1	0	0	8	0	65	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	0	0	0	6	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0
3374	4375	"Grand Ratz le Pellet"	45.425	5.60833	280	"AWI"	280	9973	11925	10819	0	0	0	0	0	0	8	0	95	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	0	0	0	1	0	1	0	0	3	0	3	0	0	0	0	3	0	0	0	0
3374	4375	"Grand Ratz le Pellet"	45.425	5.60833	285	"AWI"	285	10043	12121	10963	0	0	0	0	0	0	15	0	62	0	0	0	0	0	0	0	0	2	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	260	0	0	0	0	0	6	0	0	0	0	13	0	0	0	0	0	0	0	0	0
3374	4375	"Grand Ratz le Pellet"	45.425	5.60833	290	"AWI"	290	10120	12326	11111	0	0	0	0	0	0	10	0	106	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	127	0	0	0	0	0	6	0	0	0	0	11	0	4	0	0	2	0	0	0	0
3374	4375	"Grand Ratz le Pellet"	45.425	5.60833	295	"AWI"	295	10291	12425	11257	0	0	0	0	0	0	12	0	94	0	0	0	0	0	0	0	0	2	0	2	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	145	0	0	0	0	0	1	0	0	1	0	5	0	1	0	0	1	0	0	0	0
