"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Ilex"	"Juglans"	"Lamiaceae"	"Lythraceae"	"Malvaceae"	"Myrica"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Tilia"	"Ulmus"	"Urticaceae"
27230	48658	"Sehestedter Aussendeichsmoor"	53.438402	8.306488	165	"AWI"	165	976	1191	1088	0	128	6	1	0	0	0	80	0	1	0	0	0	0	0	67	11	0	0	100	0	0	0	0	0	0	0	0	0	0	13	2	44	0	0	0	0	67	0	0	0	0	0	0	1	1	1
27230	48658	"Sehestedter Aussendeichsmoor"	53.438402	8.306488	381	"AWI"	381	2641	2954	2817	0	183	7	0	0	1	0	128	0	0	0	0	0	0	0	29	134	0	0	26	0	1	0	0	0	0	0	0	0	0	2	2	59	7	0	0	0	91	0	0	0	0	0	0	6	2	0
27230	48658	"Sehestedter Aussendeichsmoor"	53.438402	8.306488	373	"AWI"	373	2557	2859	2738	0	171	7	4	0	0	0	111	0	1	0	0	0	0	0	30	71	0	0	5	0	0	0	0	0	0	0	0	0	0	1	1	140	0	0	0	0	67	0	0	0	0	1	0	0	4	0
27230	48658	"Sehestedter Aussendeichsmoor"	53.438402	8.306488	205	"AWI"	205	1233	1504	1370	0	245	3	0	0	0	0	96	0	0	0	0	0	0	0	44	24	0	0	53	0	2	0	0	0	0	0	1	0	0	21	1	32	3	0	0	0	44	0	0	0	0	2	0	0	6	0
27230	48658	"Sehestedter Aussendeichsmoor"	53.438402	8.306488	441	"AWI"	441	3136	3544	3333	1	85	159	0	0	2	0	39	0	4	0	0	0	0	0	49	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	7	277	0	0	0	0	84	0	0	0	0	0	3	2	0	0
27230	48658	"Sehestedter Aussendeichsmoor"	53.438402	8.306488	417	"AWI"	417	3004	3303	3162	1	139	62	0	0	4	0	59	20	0	0	0	0	0	0	59	15	0	0	4	0	2	0	0	0	0	0	1	0	0	2	1	141	0	0	0	0	146	0	0	0	0	0	1	2	2	0
27230	48658	"Sehestedter Aussendeichsmoor"	53.438402	8.306488	311	"AWI"	311	2057	2302	2191	0	139	37	1	0	1	0	94	0	0	0	0	0	0	0	80	3	0	0	9	0	0	0	0	0	0	0	0	0	0	6	8	196	0	46	0	0	42	0	0	0	0	0	0	2	4	0
27230	48658	"Sehestedter Aussendeichsmoor"	53.438402	8.306488	121	"AWI"	121	700	917	812	0	162	6	0	0	1	0	119	0	0	0	0	0	0	0	53	45	0	0	61	0	0	0	0	0	0	0	1	0	0	12	0	95	0	99	0	0	49	0	0	0	0	3	1	0	1	0
27230	48658	"Sehestedter Aussendeichsmoor"	53.438402	8.306488	401	"AWI"	401	2872	3148	3025	0	157	9	2	0	0	0	118	0	1	0	0	0	0	0	51	154	0	0	17	0	1	0	0	0	0	0	0	1	0	1	0	94	0	0	0	0	104	0	0	0	0	0	0	1	7	0
27230	48658	"Sehestedter Aussendeichsmoor"	53.438402	8.306488	177	"AWI"	177	1049	1260	1163	0	185	3	0	0	0	0	47	0	0	0	0	0	0	0	54	18	0	0	122	0	2	0	0	0	0	0	1	0	0	30	1	53	0	0	0	0	57	0	0	0	0	1	1	1	1	0
27230	48658	"Sehestedter Aussendeichsmoor"	53.438402	8.306488	85	"AWI"	85	456	702	604	0	79	2	0	0	0	0	38	0	0	0	0	0	0	0	15	19	0	0	16	0	0	0	0	0	0	0	1	0	0	8	0	98	0	129	0	0	7	0	0	0	0	2	0	3	1	1
27230	48658	"Sehestedter Aussendeichsmoor"	53.438402	8.306488	369	"AWI"	369	2517	2805	2702	0	268	12	9	0	0	0	128	0	1	0	0	0	0	0	69	123	0	0	15	0	1	0	0	0	0	0	2	0	0	1	3	50	0	0	0	0	30	0	0	0	0	0	0	3	1	0
27230	48658	"Sehestedter Aussendeichsmoor"	53.438402	8.306488	329	"AWI"	329	2192	2446	2333	0	303	1	10	0	1	0	145	0	0	0	0	0	0	0	16	13	0	0	1	0	6	0	0	1	0	0	1	0	0	0	0	12	0	0	0	0	51	0	0	0	0	3	0	1	1	0
27230	48658	"Sehestedter Aussendeichsmoor"	53.438402	8.306488	389	"AWI"	389	2727	3039	2899	0	196	14	2	0	0	0	110	0	0	0	0	0	0	0	63	331	0	0	29	0	1	0	0	0	0	0	2	0	0	1	1	53	5	0	0	0	100	0	0	0	0	0	0	4	5	0
27230	48658	"Sehestedter Aussendeichsmoor"	53.438402	8.306488	393	"AWI"	393	2773	3078	2941	0	201	4	0	0	2	0	130	0	0	0	0	0	0	0	74	302	0	0	15	0	1	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	93	0	0	0	0	1	0	5	5	0
