"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fagus"	"Fraxinus"	"Geraniaceae"	"Lamiaceae"	"Liliaceae"	"Onagraceae"	"Papaveraceae"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
16355	25402	"Fontaine Henry"	49.2775	-0.45333	360	"AWI"	360	2195	2589	2432	7.21649484536082	1.03092783505155	1.03092783505155	0	1.03092783505155	0	1.03092783505155	1.03092783505155	0	7.21649484536082	56.701030927835	0	1.03092783505155	0	0	1.03092783505155	0	0	0	0	2.06185567010309	0	0	17.5257731958763	0	0	0	0	2.06185567010309	0	0	0	0
16355	25402	"Fontaine Henry"	49.2775	-0.45333	370	"AWI"	370	2248	2624	2484	7.69230769230769	0	0	0	0	0	0	0	1.0989010989011	16.4835164835165	54.9450549450549	0	0	0	0	0	0	0	0	1.0989010989011	0	0	0	18.6813186813187	0	0	0	0	0	0	0	0	0
16355	25402	"Fontaine Henry"	49.2775	-0.45333	382	"AWI"	382	2319	2662	2548	0	0	0	0	0	0	2.98507462686567	0	0	8.95522388059701	58.2089552238806	0	1.49253731343284	0	0	1.49253731343284	0	0	0	1.49253731343284	4.47761194029851	0	0	16.4179104477612	0	0	0	0	0	0	4.47761194029851	0	0
16355	25402	"Fontaine Henry"	49.2775	-0.45333	388	"AWI"	388	2354	2680	2580	5.81395348837209	2.32558139534884	0	0	0	0	1.16279069767442	0	1.16279069767442	19.7674418604651	41.8604651162791	0	0	0	0	0	0	0	0	3.48837209302326	1.16279069767442	0	0	17.4418604651163	0	0	0	1.16279069767442	2.32558139534884	0	1.16279069767442	1.16279069767442	0
16355	25402	"Fontaine Henry"	49.2775	-0.45333	430	"AWI"	430	2599	3022	2831	18	0	0	0	0	0	0	0	0	18	50	0	0	0	0	1	0	0	0	0	1	0	0	12	0	0	0	0	0	0	0	0	0
16355	25402	"Fontaine Henry"	49.2775	-0.45333	440	"AWI"	440	2666	3092	2896	4.76190476190476	2.38095238095238	1.19047619047619	1.19047619047619	0	0	1.19047619047619	1.19047619047619	0	19.047619047619	44.047619047619	0	1.19047619047619	0	0	0	0	0	0	1.19047619047619	0	0	0	20.2380952380952	0	0	0	0	1.19047619047619	0	0	1.19047619047619	0
16355	25402	"Fontaine Henry"	49.2775	-0.45333	445	"AWI"	445	2703	3118	2932	6.66666666666667	0	1.11111111111111	0	0	0	1.11111111111111	1.11111111111111	1.11111111111111	14.4444444444444	32.2222222222222	0	1.11111111111111	0	0	0	0	0	0	1.11111111111111	1.11111111111111	0	0	35.5555555555556	0	0	1.11111111111111	0	0	1.11111111111111	0	1.11111111111111	0
16355	25402	"Fontaine Henry"	49.2775	-0.45333	450	"AWI"	450	2733	3161	2964	10	3.33333333333333	0	0	0	0	5	0	0	13.3333333333333	40	0	0	0	0	0	0	0	0	0	1.66666666666667	0	0	26.6666666666667	0	0	0	0	0	0	0	0	0
16355	25402	"Fontaine Henry"	49.2775	-0.45333	470	"AWI"	470	2880	3282	3101	11.1111111111111	2.77777777777778	0	0	2.77777777777778	0	0	0	0	5.55555555555556	41.6666666666667	0	0	0	0	0	0	0	0	0	2.77777777777778	0	0	30.5555555555556	0	0	0	0	0	0	2.77777777777778	0	0
16355	25402	"Fontaine Henry"	49.2775	-0.45333	495	"AWI"	495	3091	3404	3273	5.12820512820513	5.12820512820513	3.84615384615385	0	0	0	0	1.28205128205128	0	10.2564102564103	35.8974358974359	0	0	0	0	0	0	0	0	0	0	0	0	37.1794871794872	0	0	0	0	1.28205128205128	0	0	0	0
