"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Geraniaceae"	"Juniperus"	"Lythraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Violaceae"
3017	3931	"Bjärsjöholmssjön"	55.453774	13.7798	275	"AWI"	275	4127	4664	4388	5	335	0	0	2	9	0	82	0	0	0	0	0	476	1	0	1	0	1	0	68	0	0	0	0	1	0	26	0	0	0	0	0	334	0	0	0	0	0	3	0	6	0	14	33	0	0	0
3017	3931	"Bjärsjöholmssjön"	55.453774	13.7798	280	"AWI"	280	4154	4731	4434	2	263	0	1	1	2	0	78	0	0	0	0	0	376	2	0	0	0	0	0	67	0	0	0	0	0	0	24	0	0	0	0	0	286	0	0	0	0	0	3	0	4	0	21	13	0	0	0
3017	3931	"Bjärsjöholmssjön"	55.453774	13.7798	285	"AWI"	285	4202	4768	4485	4	280	0	0	0	3	0	76	0	0	0	0	0	408	3	0	1	0	0	1	42	0	0	0	0	1	1	22	0	0	0	0	0	297	0	0	0	0	0	0	1	3	0	22	14	0	0	0
3017	3931	"Bjärsjöholmssjön"	55.453774	13.7798	290	"AWI"	290	4234	4829	4531	1	333	0	3	1	4	0	82	0	0	0	0	0	393	1	0	0	0	1	0	29	0	0	0	0	2	1	26	0	0	0	0	0	306	0	0	0	0	0	2	0	0	1	16	18	0	0	0
3017	3931	"Bjärsjöholmssjön"	55.453774	13.7798	295	"AWI"	295	4290	4861	4578	0	326	1	0	3	4	0	80	0	2	0	0	0	443	3	0	0	0	2	0	45	0	0	0	0	1	0	25	0	0	0	0	0	283	0	0	0	0	0	4	0	2	0	26	26	1	1	0
3017	3931	"Bjärsjöholmssjön"	55.453774	13.7798	300	"AWI"	300	4323	4918	4622	1	369	1	0	2	4	0	95	0	0	1	0	0	504	3	0	0	0	3	0	47	0	0	0	0	2	1	27	0	0	0	0	0	298	0	0	0	1	0	5	1	0	0	27	36	0	0	0
3017	3931	"Bjärsjöholmssjön"	55.453774	13.7798	305	"AWI"	305	4376	4952	4671	4	378	2	0	2	15	0	90	0	0	0	0	0	530	4	1	0	0	3	0	50	0	0	0	0	0	1	27	0	0	0	0	0	245	1	0	0	0	0	3	1	1	0	41	54	0	0	0
3017	3931	"Bjärsjöholmssjön"	55.453774	13.7798	310	"AWI"	310	4405	5011	4722	1	416	0	0	1	7	0	81	0	0	1	0	0	518	5	1	0	0	1	0	93	0	0	0	0	1	1	42	0	0	0	0	0	280	0	0	0	0	0	0	0	1	0	64	102	0	2	0
3017	3931	"Bjärsjöholmssjön"	55.453774	13.7798	315	"AWI"	315	4466	5043	4769	1	358	1	2	5	3	0	99	0	0	0	0	0	414	1	1	0	0	2	2	82	0	0	0	0	1	2	46	0	0	0	0	0	272	0	0	0	0	0	1	3	1	0	63	70	0	0	0
3017	3931	"Bjärsjöholmssjön"	55.453774	13.7798	320	"AWI"	320	4509	5087	4818	3	332	1	0	2	5	0	82	0	0	0	0	0	336	4	2	0	0	2	1	108	0	0	0	0	0	1	34	0	0	0	0	0	251	0	0	0	0	0	1	0	0	0	79	75	0	0	0
