"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Arbutus"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Hypericaceae"	"Juglans"	"Lamiaceae"	"Liliaceae"	"Malvaceae"	"Morus"	"Olea"	"Ostrya.Carpinus"	"Phillyrea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Polygonaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Rutaceae"	"Salix"	"Scrophulariaceae"	"Sorbus"	"Ulmus"	"Urticaceae"
15846	24386	"Asi Gonia"	35.248806	24.277954	290	"AWI"	290	721	988	848	0	0	0	1	5	0	6	1	6	0	0	9	0	0	0	11	0	0	226	0	71	0	7	0	0	0	3	0	0	0	6	0	3	4	0	3	25	0	0	29	57	5	0	8	0	6	0	0	0	0	0	0
15846	24386	"Asi Gonia"	35.248806	24.277954	295	"AWI"	295	740	1000	863	0	1	1	2	8	1	2	0	10	0	1	0	0	0	0	10	0	0	220	0	90	0	12	0	0	0	4	0	0	0	0	0	0	0	0	3	26	0	0	39	70	0	0	0	0	2	0	0	0	0	0	0
15846	24386	"Asi Gonia"	35.248806	24.277954	300	"AWI"	300	755	1019	878	0	0	2	1	4	0	10	0	6	0	0	9	0	4	0	0	1	2	73	0	83	0	14	0	0	0	5	1	0	0	5	0	0	2	0	3	42	74	0	34	141	7	0	12	0	1	0	0	0	0	0	0
15846	24386	"Asi Gonia"	35.248806	24.277954	305	"AWI"	305	773	1030	894	0	0	0	4	6	0	0	5	8	0	0	10	0	4	0	6	0	0	41	0	117	1	21	0	2	0	11	0	0	0	3	0	0	5	3	3	63	0	6	72	177	10	1	14	0	4	0	0	0	0	0	0
15846	24386	"Asi Gonia"	35.248806	24.277954	310	"AWI"	310	786	1046	910	0	1	2	0	2	0	1	0	0	0	0	2	0	0	0	9	0	0	18	0	76	0	3	0	0	0	1	0	0	0	2	0	0	8	0	0	35	0	0	113	257	0	0	0	0	1	0	0	0	0	0	0
15846	24386	"Asi Gonia"	35.248806	24.277954	315	"AWI"	315	802	1060	925	0	0	1	1	3	0	2	1	4	0	0	0	0	1	0	8	0	0	13	0	49	0	5	0	1	0	5	1	0	0	4	0	0	8	0	0	11	0	0	71	356	0	0	0	0	0	0	0	0	0	0	0
15846	24386	"Asi Gonia"	35.248806	24.277954	320	"AWI"	320	813	1079	939	0	0	0	1	3	0	0	0	5	0	0	6	0	2	0	2	0	0	25	0	51	0	6	0	1	0	6	0	0	0	15	0	0	4	3	3	11	0	0	160	250	8	0	11	0	1	0	0	0	0	0	0
15846	24386	"Asi Gonia"	35.248806	24.277954	325	"AWI"	325	829	1092	954	0	0	0	0	0	0	1	0	5	0	0	4	0	0	0	6	0	1	23	0	49	0	3	0	0	0	4	0	0	0	0	0	0	7	0	0	28	0	0	58	376	0	0	0	0	1	0	0	0	0	0	0
15846	24386	"Asi Gonia"	35.248806	24.277954	330	"AWI"	330	841	1108	969	0	0	0	4	4	0	3	0	3	0	0	2	0	2	0	4	0	0	32	0	85	0	11	0	0	0	5	0	0	0	2	0	0	0	0	0	6	0	0	72	284	0	0	0	0	3	0	0	0	0	0	0
15846	24386	"Asi Gonia"	35.248806	24.277954	335	"AWI"	335	857	1121	984	0	0	3	1	1	0	1	0	7	0	0	2	0	0	0	13	0	0	14	0	154	0	0	0	0	0	2	1	0	0	9	0	0	10	0	0	11	0	0	77	222	2	0	4	0	2	0	1	0	1	0	0
15846	24386	"Asi Gonia"	35.248806	24.277954	340	"AWI"	340	868	1137	998	0	0	0	2	2	0	0	0	3	0	0	0	0	0	0	7	0	1	10	0	91	0	2	0	0	0	2	0	0	0	6	0	0	9	0	0	23	0	0	171	206	0	0	0	0	0	0	0	0	0	0	0
15846	24386	"Asi Gonia"	35.248806	24.277954	350	"AWI"	350	895	1167	1028	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	9	1	0	31	0	61	0	1	0	0	0	2	0	0	0	7	0	1	1	0	1	0	0	0	54	331	0	0	0	0	0	0	0	0	0	0	0
15846	24386	"Asi Gonia"	35.248806	24.277954	355	"AWI"	355	914	1180	1042	0	0	0	1	0	0	6	0	6	0	0	6	0	2	0	6	0	0	17	0	64	1	1	0	0	0	0	0	0	0	4	2	0	9	0	0	16	0	0	59	370	0	0	0	0	2	0	0	0	0	0	0
15846	24386	"Asi Gonia"	35.248806	24.277954	360	"AWI"	360	926	1197	1057	0	1	0	0	1	0	9	0	3	0	0	2	0	2	0	17	1	0	4	0	172	0	5	0	1	0	6	0	0	0	3	0	0	3	0	0	3	0	0	49	458	0	0	0	0	2	0	0	1	0	0	0
15846	24386	"Asi Gonia"	35.248806	24.277954	365	"AWI"	365	943	1211	1072	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	2	1	0	13	0	72	0	4	0	0	0	2	0	0	0	5	0	0	9	0	0	18	0	1	54	338	0	0	0	0	0	0	0	0	0	0	0
15846	24386	"Asi Gonia"	35.248806	24.277954	370	"AWI"	370	954	1228	1087	0	0	0	3	4	0	5	0	7	0	0	8	0	3	0	0	2	0	36	0	90	0	27	0	0	0	3	0	0	0	4	0	0	3	0	3	19	0	2	143	187	0	0	0	0	2	0	0	0	0	0	0
15846	24386	"Asi Gonia"	35.248806	24.277954	380	"AWI"	380	986	1259	1117	0	0	0	6	1	0	3	0	2	1	0	0	0	0	0	6	3	0	27	0	80	0	10	0	0	0	0	0	0	0	3	0	0	4	0	1	9	0	0	57	303	5	0	6	0	1	0	0	0	0	0	0
15846	24386	"Asi Gonia"	35.248806	24.277954	385	"AWI"	385	1004	1272	1132	0	0	0	0	2	1	7	0	3	0	0	3	0	0	0	3	0	0	47	0	89	0	2	0	0	0	5	0	0	0	11	0	3	1	0	2	12	0	0	75	242	3	0	0	0	3	0	0	0	0	0	0
15846	24386	"Asi Gonia"	35.248806	24.277954	390	"AWI"	390	1018	1286	1147	0	0	0	0	1	0	2	0	3	0	0	2	0	1	0	6	0	0	14	0	61	0	1	0	0	0	2	0	0	0	1	0	0	4	0	0	19	0	0	44	382	0	0	0	0	0	0	0	0	0	0	0
15846	24386	"Asi Gonia"	35.248806	24.277954	395	"AWI"	395	1036	1301	1161	0	0	0	2	1	0	4	0	2	0	0	1	0	2	0	3	0	0	12	0	54	0	1	0	0	0	0	0	0	0	8	0	0	3	0	1	19	0	0	43	393	0	0	0	0	0	0	0	0	1	0	0
