"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Buxus"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Juniperus"	"Lamiaceae"	"Olea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Quercus.evg.type"	"Rubiaceae"	"Rumex"	"Salix"	"Tilia"	"Ulmus"
14549	22805	"Les Palanques"	42.16222	2.43806	493	"AWI"	493	5340	6723	6057	0.921658986175115	0	3.2258064516129	0.460829493087558	0	4.14746543778802	1.38248847926267	1.38248847926267	1.38248847926267	0	0.460829493087558	16.5898617511521	3.68663594470046	0	7.83410138248848	1.38248847926267	7.37327188940092	0	0.921658986175115	0	10.5990783410138	1.84331797235023	0	0	30.8755760368664	1.38248847926267	0.460829493087558	0	0	0	3.68663594470046
14549	22805	"Les Palanques"	42.16222	2.43806	502	"AWI"	502	5462	6833	6185	2.79329608938547	0	8.37988826815642	0.558659217877095	1.11731843575419	2.23463687150838	0	1.11731843575419	1.11731843575419	0	0	21.7877094972067	2.23463687150838	0	2.23463687150838	0	6.14525139664804	0	0.558659217877095	0.558659217877095	12.8491620111732	1.67597765363128	0	0	26.8156424581006	3.35195530726257	0.558659217877095	0	1.11731843575419	0.558659217877095	2.23463687150838
14549	22805	"Les Palanques"	42.16222	2.43806	511	"AWI"	511	5604	6949	6317	1.48148148148148	0	6.66666666666667	0.37037037037037	0.740740740740741	1.85185185185185	0	0	0	0	0.740740740740741	14.4444444444444	0.740740740740741	0.37037037037037	2.59259259259259	0.740740740740741	8.51851851851852	0	0.37037037037037	0.37037037037037	23.3333333333333	4.44444444444444	5.18518518518519	0.37037037037037	25.1851851851852	0.37037037037037	0	0.37037037037037	0	0.37037037037037	0.37037037037037
14549	22805	"Les Palanques"	42.16222	2.43806	519	"AWI"	519	5728	7042	6433	0.478468899521531	0	9.09090909090909	0.478468899521531	0.956937799043062	3.34928229665072	0	0.956937799043062	0	0	0	20.0956937799043	1.91387559808612	0	4.30622009569378	0.478468899521531	4.30622009569378	0	0.478468899521531	0.478468899521531	15.7894736842105	4.78468899521531	0	0	25.3588516746411	0.956937799043062	0	0	2.39234449760766	1.91387559808612	1.43540669856459
14549	22805	"Les Palanques"	42.16222	2.43806	528	"AWI"	528	5865	7150	6562	2.27272727272727	0.454545454545455	13.1818181818182	0.454545454545455	0	0.454545454545455	0	0	0	0	0	8.63636363636364	8.18181818181818	0	1.36363636363636	0.454545454545455	6.81818181818182	0	0	0	36.8181818181818	0.454545454545455	0	0	16.8181818181818	0.909090909090909	0	0	0.454545454545455	0.454545454545455	1.81818181818182
14549	22805	"Les Palanques"	42.16222	2.43806	537	"AWI"	537	6008	7255	6687	5	0	8.57142857142857	0	0	0.714285714285714	0	0	0	0	0	14.2857142857143	0	0	1.42857142857143	2.14285714285714	0.714285714285714	0.714285714285714	0	0	53.5714285714286	0	0	0	11.4285714285714	1.42857142857143	0	0	0	0	0
14549	22805	"Les Palanques"	42.16222	2.43806	545	"AWI"	545	6134	7353	6797	4.21940928270042	0	0.843881856540084	0.421940928270042	0	0	0.843881856540084	0.421940928270042	0	0	0	5.06329113924051	0.421940928270042	0	1.68776371308017	0.421940928270042	0.421940928270042	0	0	0	72.9957805907173	0	3.37552742616034	0.421940928270042	7.17299578059072	0	0.421940928270042	0	0	0.421940928270042	0.421940928270042
14549	22805	"Les Palanques"	42.16222	2.43806	554	"AWI"	554	6282	7460	6925	0.26525198938992	0.26525198938992	0	0	0	0.26525198938992	0	0.26525198938992	0.795755968169761	0	0	55.9681697612732	0	0	0.530503978779841	0	0	0	0	0	19.0981432360743	0.26525198938992	0	0	15.9151193633952	0	0	0	0	0	6.36604774535809
14549	22805	"Les Palanques"	42.16222	2.43806	563	"AWI"	563	6441	7561	7053	0	1.03492884864166	0	0.517464424320828	0.258732212160414	2.45795601552393	0.258732212160414	0.646830530401035	0.129366106080207	0	0	53.6869340232859	0.388098318240621	0	0.258732212160414	0	0	0	0	0	11.1254851228978	0.646830530401035	0	0	19.1461836998706	0	0.129366106080207	0.129366106080207	0	0	9.1849935316947
14549	22805	"Les Palanques"	42.16222	2.43806	571	"AWI"	571	6550	7655	7165	0.124688279301746	2.11970074812968	9.60099750623441	0.249376558603491	0.498753117206983	2.36907730673317	0	0.872817955112219	0.498753117206983	0	0.124688279301746	46.3840399002494	0.623441396508728	0	0.124688279301746	0	0.124688279301746	0	0.124688279301746	0.124688279301746	14.214463840399	0.498753117206983	0	0.124688279301746	21.1970074812968	0	0	0	0	0	0
