"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Indeterminable"	"Juniperus"	"Lamiaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rhododendron"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
13338	19913	"Abborrtjärnen"	63.88333	14.45	804	"AWI"	804	4625	5017	4820	0	81	1	0	0	0	565	0	0	0	0	0	3	0	8	0	0	0	0	0	1	0	0	0	5	0	0	0	0	0	0	685	0	0	0	11	0	3	0	0	0	0	1	7	6	0	1	5	0	0
13338	19913	"Abborrtjärnen"	63.88333	14.45	806	"AWI"	806	4668	5201	4904	0	74	1	0	0	0	386	0	0	0	0	0	7	0	4	0	0	0	0	0	1	0	0	0	7	0	0	0	0	0	0	624	0	0	0	12	0	5	0	0	0	0	0	2	4	0	0	7	0	0
13338	19913	"Abborrtjärnen"	63.88333	14.45	808	"AWI"	808	4696	5429	4982	0	74	1	0	0	0	605	0	0	0	0	0	9	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	689	0	0	0	5	0	0	0	0	0	0	0	6	6	0	0	10	0	0
13338	19913	"Abborrtjärnen"	63.88333	14.45	810	"AWI"	810	4770	5515	5076	0	85	0	0	1	0	619	0	0	0	0	0	5	0	2	0	0	0	0	0	1	0	0	0	14	0	0	0	0	0	0	466	0	0	0	5	0	2	0	0	0	0	0	1	0	0	1	2	0	0
13338	19913	"Abborrtjärnen"	63.88333	14.45	812	"AWI"	812	4816	5655	5168	0	82	1	0	0	0	604	0	0	0	0	0	3	0	6	1	0	0	0	0	4	0	0	2	1	0	0	0	0	0	0	511	0	0	0	10	0	5	0	0	0	0	0	11	2	0	1	6	0	0
13338	19913	"Abborrtjärnen"	63.88333	14.45	814	"AWI"	814	4879	5788	5261	0	69	0	1	0	0	608	0	0	0	0	0	5	0	5	0	0	0	0	0	1	0	0	2	6	0	0	0	0	0	0	440	0	0	0	22	0	1	0	0	0	0	0	6	5	0	0	9	0	0
13338	19913	"Abborrtjärnen"	63.88333	14.45	816	"AWI"	816	4941	5876	5359	0	61	0	0	0	0	525	0	0	0	0	0	9	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	559	0	0	0	9	0	0	0	0	0	0	0	10	6	0	0	6	0	0
13338	19913	"Abborrtjärnen"	63.88333	14.45	818	"AWI"	818	4984	6011	5458	0	68	0	1	0	0	530	0	0	0	0	0	5	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	454	0	0	0	7	0	3	0	0	0	0	0	5	5	0	0	10	0	0
13338	19913	"Abborrtjärnen"	63.88333	14.45	820	"AWI"	820	5067	6077	5550	0	88	0	0	0	0	444	0	0	0	0	0	5	0	1	0	0	0	0	1	0	0	0	1	6	0	0	0	0	0	0	573	0	0	0	8	0	2	0	1	0	0	2	1	8	0	0	7	2	0
13338	19913	"Abborrtjärnen"	63.88333	14.45	822	"AWI"	822	5132	6171	5641	0	99	0	0	0	0	467	0	0	0	0	0	6	0	2	0	0	0	0	0	5	0	0	0	4	0	0	0	0	0	0	557	0	0	0	14	1	3	0	0	0	0	1	5	2	0	1	15	0	0
13338	19913	"Abborrtjärnen"	63.88333	14.45	824	"AWI"	824	5210	6251	5736	0	120	0	0	0	0	466	0	0	0	0	0	8	0	4	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	512	0	0	0	3	0	0	0	0	0	0	2	1	5	0	1	16	0	0
13338	19913	"Abborrtjärnen"	63.88333	14.45	826	"AWI"	826	5295	6315	5837	0	97	0	0	1	0	538	0	0	0	0	0	6	0	7	0	0	0	0	0	2	0	0	1	6	0	0	0	0	0	0	422	0	0	0	29	0	1	0	0	0	0	0	0	6	0	0	23	0	0
