"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Berberidaceae"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Crataegus"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Geraniaceae"	"Hypericaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Linaceae"	"Malvaceae"	"Myrtus"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Poaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Rutaceae"	"Salix"	"Sambucus"	"Saxifragaceae"	"Solanaceae"	"Thymelaeaceae"	"Tilia"	"Ulmus"	"Urticaceae"	"Violaceae"
3186	24356	"Lake Orestiás"	40.55194	21.32222	222	"AWI"	222	5774	7328	6691	6	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	1	27	0	0	0	0	3	0	0	0	0	0	0	5	0	101	0	1	34	0	107	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
3186	24356	"Lake Orestiás"	40.55194	21.32222	227	"AWI"	227	5849	7355	6748	2	0	1	1	0	11	0	0	0	0	2	0	0	0	0	4	2	0	0	2	0	2	0	3	13	0	0	0	3	0	3	0	0	0	0	2	8	0	62	0	2	68	1	91	4	0	0	0	6	0	0	0	0	0	0	1	0	0	0
3186	24356	"Lake Orestiás"	40.55194	21.32222	235	"AWI"	235	5946	7406	6843	7	0	0	13	0	30	0	0	6	0	1	0	0	0	0	0	1	0	0	0	0	0	0	6	24	0	0	0	0	0	0	0	0	0	0	2	6	0	57	0	1	0	0	65	13	0	0	0	5	0	0	0	0	0	0	0	0	0	0
3186	24356	"Lake Orestiás"	40.55194	21.32222	243	"AWI"	243	6022	7489	6941	0	0	1	2	3	19	0	0	2	0	0	0	0	0	0	1	2	0	0	0	0	0	0	1	27	0	0	0	0	3	0	0	0	0	0	1	28	0	40	0	2	59	0	76	14	0	0	0	1	0	0	0	0	0	0	0	0	0	0
3186	24356	"Lake Orestiás"	40.55194	21.32222	247	"AWI"	247	6052	7543	6990	6	3	10	2	1	12	0	0	8	0	9	0	5	4	0	0	7	2	5	0	0	0	1	0	26	2	0	0	7	5	4	0	0	0	0	0	25	2	91.5	0	12	133	4	139	10	0	0	0	9	0	0	0	0	2	0	0	0	0	0
3186	24356	"Lake Orestiás"	40.55194	21.32222	250	"AWI"	250	6070	7601	7022	1	0	4	2	0	17	0	0	0	0	0	0	0	1	0	0	1	0	3	0	0	4	0	0	13	0	0	0	4	0	0	0	1	0	0	0	12	0	72	0	2	40	0	100	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3186	24356	"Lake Orestiás"	40.55194	21.32222	253	"AWI"	253	6096	7659	7056	4	0	1	0	0	11	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	1	11	0	0	0	0	0	0	0	0	0	0	0	8	0	85	2	0	42	2	107	4	0	0	0	2	0	0	1	2	0	0	0	1	0	0
3186	24356	"Lake Orestiás"	40.55194	21.32222	256	"AWI"	256	6122	7733	7088	0	0	3	3	0	3	0	0	5	0	2	0	0	2	0	5	0	8	0	1	0	0	0	1	13	0	0	0	1	2	0	0	0	0	0	0	23	0	66	0	1	30	0	108	6	0	0	0	5	0	0	0	0	1	0	0	2	0	0
3186	24356	"Lake Orestiás"	40.55194	21.32222	260	"AWI"	260	6156	7772	7119	1	3	1	1	0	4	0	0	1	0	5	0	0	2	0	0	0	2	1	0	0	2	0	0	43	0	0	0	3	1	0	0	0	0	0	0	31	0	79	0	0	52	2	172	3	0	0	1	1	0	0	0	6	0	0	0	2	0	0
3186	24356	"Lake Orestiás"	40.55194	21.32222	264	"AWI"	264	6185	7807	7146	7.5	0	3	0	0	0	0	0	1	0	2	0	0	1	0	1	1	0	0	0	0	1	0	0	18	0	0	0	0	1	0	0	0	0	0	0	14	0	123	0	0	24	1	94	5	1	0	0	2	0	0	0	0	0	0	0	2	0	0
