"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Cannabaceae"	"Caryophyllaceae"	"Celastraceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fraxinus"	"Geraniaceae"	"Indeterminable"	"Juniperus"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
15733	24155	"Lake Tsuolbmajavri"	68.68811	22.05346	95	"AWI"	95	2900	3291	3108	0	0	0	0	0	0	185	0	0	0	0	2	0	11	0	0	0	0	4	4	0	1	0	20	266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
15733	24155	"Lake Tsuolbmajavri"	68.68811	22.05346	97	"AWI"	97	2948	3348	3171	0	2	0	0	1	0	193	0	0	0	0	0	0	17	0	0	0	0	3	3	0	0	0	15	258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15733	24155	"Lake Tsuolbmajavri"	68.68811	22.05346	99	"AWI"	99	3056	3379	3232	0	0	0	0	1	0	164	0	0	0	0	3	0	9	0	0	0	0	1	1	0	0	0	17	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15733	24155	"Lake Tsuolbmajavri"	68.68811	22.05346	101	"AWI"	101	3113	3448	3297	0	4	0	0	0	0	162	0	0	0	0	0	0	13	0	0	0	0	7	4	0	0	0	19	284	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
15733	24155	"Lake Tsuolbmajavri"	68.68811	22.05346	103	"AWI"	103	3183	3529	3366	0	3	0	0	1	0	217	0	0	0	0	2	2	22	0	0	0	1	1	7	0	0	0	12	234	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
15733	24155	"Lake Tsuolbmajavri"	68.68811	22.05346	105	"AWI"	105	3226	3654	3435	0	3	0	0	1	0	190	0	0	0	0	1	0	21	0	0	0	0	2	14	0	0	0	12	254	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
15733	24155	"Lake Tsuolbmajavri"	68.68811	22.05346	107	"AWI"	107	3268	3807	3501	0	3	0	0	1	0	183	0	0	0	0	0	0	13	0	0	0	0	1	10	0	0	0	4	262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
15733	24155	"Lake Tsuolbmajavri"	68.68811	22.05346	109	"AWI"	109	3337	3858	3576	0	1	0	0	2	0	136	0	0	0	0	0	0	9	0	0	0	0	3	2	1	0	0	6	338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15733	24155	"Lake Tsuolbmajavri"	68.68811	22.05346	111	"AWI"	111	3371	3934	3647	0	2	0	0	0	0	222	0	0	0	0	0	0	12	0	0	0	1	3	3	0	0	0	4	269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15733	24155	"Lake Tsuolbmajavri"	68.68811	22.05346	113	"AWI"	113	3450	3995	3718	0	1	0	0	0	0	209	0	0	0	0	0	0	18	0	0	0	0	3	7	0	0	0	4	238	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
15733	24155	"Lake Tsuolbmajavri"	68.68811	22.05346	115	"AWI"	115	3513	4046	3795	0	3	0	0	0	0	213	0	0	0	0	1	0	12	0	0	0	0	8	9	0	0	0	14	234	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2
15733	24155	"Lake Tsuolbmajavri"	68.68811	22.05346	117	"AWI"	117	3590	4104	3866	0	5	0	0	0	0	239	0	0	0	0	1	0	11	0	0	0	0	2	13	0	0	0	4	216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15733	24155	"Lake Tsuolbmajavri"	68.68811	22.05346	119	"AWI"	119	3705	4147	3931	0	1	0	0	0	0	230	0	0	0	0	1	0	24	0	0	0	0	1	12	1	0	0	9	240	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
15733	24155	"Lake Tsuolbmajavri"	68.68811	22.05346	121	"AWI"	121	3766	4226	4005	0	4	0	0	0	0	144	0	0	0	0	2	0	19	0	0	0	0	1	16	0	0	0	5	280	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0
15733	24155	"Lake Tsuolbmajavri"	68.68811	22.05346	123	"AWI"	123	3831	4284	4066	0	2	0	0	0	0	128	0	0	0	0	2	0	8	0	0	0	0	4	2	0	0	0	8	342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15733	24155	"Lake Tsuolbmajavri"	68.68811	22.05346	125	"AWI"	125	3877	4372	4126	0	1	0	0	1	0	212	0	0	0	0	1	0	21	0	0	0	0	1	5	0	0	0	6	237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
15733	24155	"Lake Tsuolbmajavri"	68.68811	22.05346	127	"AWI"	127	3933	4452	4184	0	4	0	0	2	0	212	0	0	0	0	0	0	14	0	0	0	0	1	12	0	0	0	5	235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
15733	24155	"Lake Tsuolbmajavri"	68.68811	22.05346	129	"AWI"	129	3983	4505	4248	0	2	0	0	1	0	213	0	0	0	0	0	0	21	0	0	0	0	3	33	0	0	0	3	216	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
15733	24155	"Lake Tsuolbmajavri"	68.68811	22.05346	131	"AWI"	131	4020	4595	4311	0	12	0	0	1	0	209	0	0	0	0	0	0	21	0	0	0	0	8	21	0	0	0	2	221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15733	24155	"Lake Tsuolbmajavri"	68.68811	22.05346	133	"AWI"	133	4116	4630	4375	0	8	0	0	0	0	217	0	0	0	0	1	0	16	0	0	0	0	1	24	0	0	0	0	221	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
15733	24155	"Lake Tsuolbmajavri"	68.68811	22.05346	135	"AWI"	135	4167	4690	4442	0	5	0	0	2	0	200	0	0	0	0	2	0	11	0	0	0	0	1	24	0	0	0	2	236	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1
15733	24155	"Lake Tsuolbmajavri"	68.68811	22.05346	137	"AWI"	137	4253	4741	4505	0	5	0	0	1	0	186	0	0	0	0	1	0	15	0	0	0	0	2	14	0	1	0	2	256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
15733	24155	"Lake Tsuolbmajavri"	68.68811	22.05346	139	"AWI"	139	4347	4774	4564	0	7	0	0	1	0	190	0	0	0	0	1	0	15	0	0	0	0	2	17	0	0	0	6	254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
15733	24155	"Lake Tsuolbmajavri"	68.68811	22.05346	141	"AWI"	141	4413	4830	4626	0	11	0	0	1	0	171	0	0	0	0	0	0	10	0	0	0	0	1	11	0	0	0	1	280	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
15733	24155	"Lake Tsuolbmajavri"	68.68811	22.05346	143	"AWI"	143	4458	4884	4684	0	5	0	0	2	0	200	0	0	0	0	1	0	9	0	0	0	0	3	18	0	1	0	1	237	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0
15733	24155	"Lake Tsuolbmajavri"	68.68811	22.05346	145	"AWI"	145	4489	4975	4739	0	5	0	0	1	0	232	0	0	0	0	0	0	15	0	0	0	0	1	18	0	0	0	6	213	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
15733	24155	"Lake Tsuolbmajavri"	68.68811	22.05346	147	"AWI"	147	4548	5030	4792	0	5	0	0	1	0	239	0	0	0	0	1	0	23	0	0	0	0	3	6	0	0	0	0	201	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
15733	24155	"Lake Tsuolbmajavri"	68.68811	22.05346	149	"AWI"	149	4594	5085	4846	0	9	0	0	0	0	202	0	0	0	0	1	0	25	0	0	0	0	2	18	0	0	0	2	223	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2
