"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Arctostaphylos"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Celastraceae"	"Cistaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euonymus"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Grossulariaceae"	"Ilex"	"Iridaceae"	"Juniperus"	"Lamiaceae"	"Larix"	"Lythraceae"	"Montiaceae"	"Myrica"	"Onagraceae"	"Orchidaceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygalaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhododendron"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Solanaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Violaceae"
14573	22849	"Lake Racze"	53.96802	14.60637	942	"AWI"	942	3264	3883	3552	0	1	171	6	0	3	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	116	0	19	0	0	0	0	0	0	32	0	10	0	0	0	0	0	0	0	0	0	0	0	0	15	0	2	241	0	0	0	0	0	2	0	113	0	0	0	2	0	0	0	0	0	0	0	0	1	0	15	12	10	0	0
14573	22849	"Lake Racze"	53.96802	14.60637	944	"AWI"	944	3509	4048	3773	0	1	172	4	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	93	0	18	0	0	0	0	0	0	20	0	5	0	0	0	0	0	0	0	0	0	0	0	0	15	0	3	242	0	0	0	0	0	0	0	89	0	0	0	1	0	0	0	0	0	0	0	0	0	0	12	9	5	0	0
14573	22849	"Lake Racze"	53.96802	14.60637	946	"AWI"	946	3722	4258	3995	0	0	110	1	0	2	2	0	7	0	0	0	0	0	0	0	0	0	0	0	0	56	0	13	0	0	0	1	0	0	10	0	8	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	143	0	0	0	0	0	1	0	70	0	0	0	1	0	0	0	0	0	0	0	0	0	0	14	6	4	0	0
14573	22849	"Lake Racze"	53.96802	14.60637	948	"AWI"	948	3900	4512	4220	1	5	219	1	0	0	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	295	0	7	0	0	0	0	0	0	45	2	39	0	0	0	0	0	0	0	0	0	0	0	0	15	0	1	206	0	0	0	0	0	2	0	280	0	0	0	3	0	0	0	2	0	0	0	0	1	1	50	33	4	0	0
14573	22849	"Lake Racze"	53.96802	14.60637	949	"AWI"	949	3979	4652	4332	0	3	226	0	0	1	5	0	4	0	0	0	0	0	0	0	0	0	0	0	0	244	0	8	0	0	0	0	0	0	2	1	62	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	189	0	0	0	0	0	4	0	311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	17	4	0	0
14573	22849	"Lake Racze"	53.96802	14.60637	950	"AWI"	950	4056	4795	4442	0	4	139	1	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	275	0	7	0	0	0	0	0	0	1	0	23	0	0	0	1	0	0	0	0	0	0	0	0	4	0	1	101	0	0	0	0	0	2	0	232	0	0	0	0	0	0	0	1	0	0	0	0	0	0	55	23	2	0	0
14573	22849	"Lake Racze"	53.96802	14.60637	952	"AWI"	952	4231	4858	4553	1	0	218	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	449	0	6	0	0	0	0	0	0	2	1	17	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	110	0	0	0	0	0	1	0	257	0	0	0	0	0	0	0	1	0	0	0	2	1	0	59	29	1	0	0
14573	22849	"Lake Racze"	53.96802	14.60637	954	"AWI"	954	4371	4945	4663	0	5	141	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	327	0	9	0	0	0	0	0	0	5	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	104	0	0	0	0	0	1	0	201	0	0	0	0	0	0	0	1	0	0	0	1	0	0	57	24	1	0	0
14573	22849	"Lake Racze"	53.96802	14.60637	956	"AWI"	956	4471	5066	4780	0	2	175	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	351	0	9	0	0	0	0	0	0	4	0	25	0	0	0	0	0	0	0	0	1	0	0	0	5	0	2	94	0	0	0	0	0	4	0	221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	30	1	0	0
14573	22849	"Lake Racze"	53.96802	14.60637	958	"AWI"	958	4535	5227	4893	0	6	242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	351	0	11	0	0	0	0	0	0	6	0	30	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	183	0	0	0	0	0	3	0	250	0	0	0	0	0	0	0	1	0	0	0	0	0	0	99	14	3	0	0
