"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Indeterminable"	"Juncaceae"	"Juniperus"	"Lentibulariaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
26221	45731	"Isbenttjønn"	59.76475	7.433998	1126	"AWI"	1126	6846	7420	7140	0	85	1	0	0	0	154	0	0	0	0	0	0	27	0	19	0	7	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	2	0	2	13	1
26221	45731	"Isbenttjønn"	59.76475	7.433998	1130	"AWI"	1130	7066	7726	7367	0	123	0	0	0	0	231	0	0	1	0	0	1	43	0	16	0	0	0	0	0	3	0	0	6	0	0	0	0	0	0	0	551	0	0	0	0	3	0	0	16	0	0	0	0	4	1	0	1	36	1
26221	45731	"Isbenttjønn"	59.76475	7.433998	1134	"AWI"	1134	7677	8017	7844	0	49	0	0	0	0	105	0	0	0	0	0	0	28	0	7	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	334	0	0	0	0	0	0	0	7	0	0	0	0	4	1	0	0	9	0
26221	45731	"Isbenttjønn"	59.76475	7.433998	1138	"AWI"	1138	8091	8626	8356	0	27	0	0	0	0	224	0	0	0	0	0	0	25	1	9	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	306	0	0	0	0	2	0	0	4	0	0	0	0	3	3	0	0	11	1
26221	45731	"Isbenttjønn"	59.76475	7.433998	1140	"AWI"	1140	8288	9045	8719	0	37	0	0	0	0	202	0	0	1	0	0	0	25	0	13	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	12	0	0	0	0	2	0	0	1	4	0
26221	45731	"Isbenttjønn"	59.76475	7.433998	1142	"AWI"	1142	8394	9558	9082	0	36	0	0	1	0	128	0	0	0	0	0	0	20	0	11	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	216	0	0	0	0	2	0	0	8	0	0	0	0	1	1	0	0	3	0
26221	45731	"Isbenttjønn"	59.76475	7.433998	1144	"AWI"	1144	8459	10114	9444	0	13	0	0	0	0	141	0	0	0	0	0	0	36	0	11	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	232	0	0	0	0	0	0	0	3	0	0	0	0	3	1	0	0	5	0
26221	45731	"Isbenttjønn"	59.76475	7.433998	1146	"AWI"	1146	8839	10361	9736	0	13	0	0	0	0	121	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	309	0	0	0	0	2	0	0	9	0	0	0	0	2	0	0	1	11	0
26221	45731	"Isbenttjønn"	59.76475	7.433998	1148	"AWI"	1148	9409	10411	9990	0	2	0	0	0	0	137	0	0	0	0	0	0	32	0	23	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	9	0	0	0	9	0
26221	45731	"Isbenttjønn"	59.76475	7.433998	1150	"AWI"	1150	9950	10491	10232	0	1	0	0	1	0	195	0	0	0	0	0	0	41	0	13	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	389	0	0	0	0	2	0	0	9	0	0	0	0	5	2	0	0	4	0
26221	45731	"Isbenttjønn"	59.76475	7.433998	1152	"AWI"	1152	10287	10739	10494	0	1	0	0	1	0	159	0	0	1	0	0	0	38	0	4	13	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	215	0	0	0	0	0	0	0	2	0	0	0	0	7	0	0	0	8	0
