"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Ilex"	"Juglans"	"Lamiaceae"	"Linaceae"	"Malvaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
3110	4047	"Mobeche Forest"	48.51667	-1	142	"AWI"	142	647	889	758	0	182	0	0	4	0	0	6	0	0	0	15	0	0	0	4	2	0	0	0	1	0	0	0	0	1	31	0	26	0	0	0	0	3	0	0	0	0	0
3110	4047	"Mobeche Forest"	48.51667	-1	145	"AWI"	145	658	900	769	0	138	0	1	3	0	0	7	0	0	0	19	0	0	0	3	0	0	0	0	0	0	0	0	0	6	52	0	25	0	0	0	0	7	0	0	0	0	0
3110	4047	"Mobeche Forest"	48.51667	-1	147	"AWI"	147	664	907	776	0	185	2	4	1	2	0	4	0	0	0	23	2	0	0	5	0	1	0	0	1	0	0	0	1	6	56	0	41	0	0	0	4	5	0	0	1	1	0
3110	4047	"Mobeche Forest"	48.51667	-1	150	"AWI"	150	672	920	788	0	152	0	3	2	1	0	0	0	0	0	20	2	0	0	3	1	1	0	0	0	0	0	0	0	1	31	0	29	0	0	1	2	4	0	0	0	0	0
3110	4047	"Mobeche Forest"	48.51667	-1	152	"AWI"	152	678	930	795	0	175	0	2	2	1	0	3	0	0	0	18	2	0	0	5	1	0	0	0	0	0	0	0	0	2	46	0	26	0	0	0	1	3	0	0	0	0	0
3110	4047	"Mobeche Forest"	48.51667	-1	155	"AWI"	155	693	939	806	0	209	0	2	4	0	0	5	0	0	1	31	3	0	0	2	1	0	0	0	0	0	0	0	1	3	33	0	28	0	0	0	0	1	0	0	0	0	0
3110	4047	"Mobeche Forest"	48.51667	-1	157	"AWI"	157	702	946	813	0	103	0	3	1	0	0	1	0	0	0	12	7	0	0	3	0	0	0	0	1	0	1	0	0	2	0	0	16	0	0	0	1	3	0	0	0	0	0
3110	4047	"Mobeche Forest"	48.51667	-1	160	"AWI"	160	713	959	824	0	185	1	1	4	0	0	6	0	0	0	17	4	0	0	2	0	0	0	0	1	0	0	0	0	1	0	0	27	0	0	0	1	0	0	0	0	0	0
3110	4047	"Mobeche Forest"	48.51667	-1	162	"AWI"	162	718	968	832	0	268	0	0	0	0	0	2	0	0	0	14	5	0	0	3	2	0	1	0	1	0	1	0	0	1	40	0	24	0	0	0	0	0	0	0	0	0	0
3110	4047	"Mobeche Forest"	48.51667	-1	165	"AWI"	165	726	985	843	0	156	0	3	2	0	0	2	0	0	0	15	4	0	0	3	0	0	0	0	0	0	0	0	0	2	30	0	20	0	0	0	0	0	0	0	0	1	0
3110	4047	"Mobeche Forest"	48.51667	-1	167	"AWI"	167	736	993	851	0	160	0	3	2	0	0	6	0	0	2	28	15	0	0	3	1	0	0	0	0	0	0	0	0	4	75	0	27	0	0	0	0	0	0	0	2	0	0
3110	4047	"Mobeche Forest"	48.51667	-1	170	"AWI"	170	750	1004	863	0	202	1	3	1	0	0	2	0	0	0	30	15	0	0	7	2	0	0	0	0	0	0	0	0	2	64	0	17	0	0	0	1	2	0	0	1	0	0
3110	4047	"Mobeche Forest"	48.51667	-1	172	"AWI"	172	758	1013	871	0	86	0	2	0	0	0	5	0	0	0	28	2	0	0	3	0	0	1	0	0	0	0	0	0	3	49	0	25	0	0	0	0	0	0	0	2	0	0
3110	4047	"Mobeche Forest"	48.51667	-1	175	"AWI"	175	766	1026	882	0	174	0	1	4	0	0	5	0	0	3	56	3	0	0	5	1	0	1	0	1	0	1	0	1	2	71	0	45	0	0	0	1	4	0	0	4	1	0
3110	4047	"Mobeche Forest"	48.51667	-1	177	"AWI"	177	771	1033	890	0	77	0	1	1	0	0	3	0	0	2	31	5	0	0	9	0	0	3	0	1	0	0	0	3	6	37	0	33	0	0	0	0	3	0	0	6	1	0
3110	4047	"Mobeche Forest"	48.51667	-1	180	"AWI"	180	780	1046	902	0	80	0	0	0	0	0	2	0	0	0	30	11	0	0	6	1	0	0	0	0	0	0	0	1	3	29	0	25	0	0	0	2	2	0	0	3	1	0
3110	4047	"Mobeche Forest"	48.51667	-1	182	"AWI"	182	789	1054	910	0	150	0	0	2	0	0	1	0	0	0	24	3	0	0	9	2	0	2	0	0	0	0	0	0	2	30	0	15	0	0	0	0	2	0	0	3	1	0
3110	4047	"Mobeche Forest"	48.51667	-1	185	"AWI"	185	797	1068	921	0	140	0	2	2	0	0	3	0	0	1	17	5	0	0	2	0	0	1	0	0	0	0	0	0	2	28	0	18	0	0	0	0	2	0	0	1	3	0
3110	4047	"Mobeche Forest"	48.51667	-1	187	"AWI"	187	802	1079	928	0	220	2	0	3	1	0	3	0	0	1	19	8	0	0	10	0	0	2	0	0	0	0	0	0	5	37	0	25	0	0	0	0	0	0	0	4	0	0
3110	4047	"Mobeche Forest"	48.51667	-1	190	"AWI"	190	808	1099	939	0	175	0	0	3	1	0	4	0	0	0	20	2	0	0	4	0	0	0	0	0	0	0	0	0	1	18	0	30	0	0	0	0	1	0	0	3	0	0
3110	4047	"Mobeche Forest"	48.51667	-1	192	"AWI"	192	813	1115	945	0	140	1	2	4	1	0	1	0	0	0	20	3	0	0	9	1	0	0	0	0	0	0	0	0	0	26	0	26	0	0	0	0	1	0	0	3	0	0
3110	4047	"Mobeche Forest"	48.51667	-1	195	"AWI"	195	821	1133	955	0	250	0	1	1	0	0	1	0	0	1	23	1	0	0	6	0	0	0	0	0	0	1	0	0	3	16	0	28	0	0	0	1	1	0	0	0	1	0
3110	4047	"Mobeche Forest"	48.51667	-1	197	"AWI"	197	827	1141	962	0	261	0	1	7	0	0	0	0	0	1	58	7	0	0	7	4	0	0	0	0	0	0	0	0	2	0	0	53	0	0	0	1	0	0	0	2	3	0
3110	4047	"Mobeche Forest"	48.51667	-1	200	"AWI"	200	834	1156	972	0	70	2	2	1	0	0	4	0	0	2	22	10	0	0	10	0	0	0	0	0	0	0	0	1	1	33	0	18	0	0	0	0	2	0	0	2	0	0
3110	4047	"Mobeche Forest"	48.51667	-1	202	"AWI"	202	839	1168	979	0	71	0	0	7	0	0	6	0	0	0	21	2	0	0	11	1	0	0	0	0	0	0	0	0	2	27	0	30	0	0	0	0	0	0	0	3	0	0
3110	4047	"Mobeche Forest"	48.51667	-1	205	"AWI"	205	844	1187	990	0	90	0	3	2	0	0	5	0	0	1	36	2	0	0	9	0	0	0	0	0	0	0	0	3	4	30	0	34	0	0	0	2	1	0	0	5	0	0
3110	4047	"Mobeche Forest"	48.51667	-1	207	"AWI"	207	848	1199	997	0	51	1	3	1	0	0	3	0	0	1	25	15	0	0	9	1	0	0	0	1	0	0	0	2	1	26	1	61	1	0	0	1	0	0	0	3	0	0
