"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Crataegus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Hypericaceae"	"Ilex"	"Indeterminable"	"Juglans"	"Juniperus"	"Lamiaceae"	"Lythraceae"	"Nartheciaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygalaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
9591	14110	"Kelly's Lough"	52.958352	-6.426246	300	"AWI"	300	5082	5723	5386	0	73	0	1	2	0	0	28	0	0	0	0	0	0	252	0	8	0	0	0	6	0	0	93	0	0	0	1	0	0	0	0	0	37.5	0	0	0	0	99	4	3	0	0	2	0	0	0	3	0	0	62	0
9591	14110	"Kelly's Lough"	52.958352	-6.426246	305	"AWI"	305	5179	5823	5500	0	112	0	1	1	0	0	22	0	0	0	0	0	0	231	0	5	0	0	0	6	0	0	54	0	0	0	0	0	0	0	0	0	60.5	0	0	0	0	131	4	0	0	0	4	0	0	0	1	0	0	41	0
9591	14110	"Kelly's Lough"	52.958352	-6.426246	310	"AWI"	310	5238	5990	5609	0	71	0	0	0	0	0	28	0	0	0	0	0	0	243	0	6	0	0	0	3	0	0	31	0	0	0	0	0	0	0	0	0	59	0	0	0	0	109	0	0	1	0	4	0	0	0	1	0	0	43	0
9591	14110	"Kelly's Lough"	52.958352	-6.426246	315	"AWI"	315	5384	6047	5740	0	93	0	1	0	0	0	21	0	0	0	0	0	0	202	0	9	0	0	0	3	0	0	138	0	0	0	0	1	0	0	0	0	69	0	0	0	0	113	0	0	1	0	4	0	0	0	1	0	0	34	0
9591	14110	"Kelly's Lough"	52.958352	-6.426246	320	"AWI"	320	5466	6168	5870	0	78	0	0	1	0	0	23	0	0	0	0	0	0	234	0	7	0	0	0	1	0	0	54	0	0	0	0	0	0	0	0	0	72	0	0	0	0	124	0	0	0	0	10	0	0	1	2	0	0	24	0
9591	14110	"Kelly's Lough"	52.958352	-6.426246	325	"AWI"	325	5678	6206	5974	0	62	0	1	1	0	0	20	0	0	0	0	0	0	226	0	7	0	0	0	1	0	1	92	0	0	0	0	0	0	0	0	0	77	0	0	0	0	121	0	0	0	0	8	0	0	0	2	0	1	43	0
9591	14110	"Kelly's Lough"	52.958352	-6.426246	330	"AWI"	330	5797	6290	6098	0	65	0	2	1	0	0	23	0	0	0	0	0	0	199	0	6	0	0	0	1	0	1	68	0	0	1	0	1	0	0	0	0	78.5	0	0	0	0	108	0	0	0	0	7	0	0	0	1	0	0	96	0
9591	14110	"Kelly's Lough"	52.958352	-6.426246	335	"AWI"	335	6039	6404	6249	0	80	0	5	0	0	0	34	0	0	0	0	0	0	280	0	5	0	0	0	3	0	1	137	0	0	0	0	2	0	0	0	0	101.5	0	0	0	0	120	0	4	0	0	4	0	0	0	1	0	0	90	0
9591	14110	"Kelly's Lough"	52.958352	-6.426246	340	"AWI"	340	6131	6718	6381	0	104	0	2	1	0	0	26	0	0	0	0	0	0	258	0	10	0	0	0	2	0	1	135	0	0	0	0	0	0	0	0	0	53.5	0	0	0	0	151	0	3	1	0	4	0	0	0	0	0	0	37	0
9591	14110	"Kelly's Lough"	52.958352	-6.426246	345	"AWI"	345	6263	6884	6554	0	42	0	1	0	0	0	30	0	0	0	0	0	0	207	0	8	0	0	0	1	0	0	76	0	0	0	0	0	0	0	0	0	123.5	0	0	0	0	81	0	0	0	0	6	0	0	0	1	0	1	84	0
9591	14110	"Kelly's Lough"	52.958352	-6.426246	350	"AWI"	350	6322	7173	6715	0	53	0	1	2	0	0	23	0	0	0	0	0	0	248	0	2	0	0	0	4	0	0	89	0	1	0	0	0	0	0	0	0	158.5	0	0	0	0	97	0	0	0	0	2	0	0	0	0	0	1	73	0
9591	14110	"Kelly's Lough"	52.958352	-6.426246	355	"AWI"	355	6497	7245	6894	0	45	0	0	0	1	0	26	0	0	0	0	0	0	209	0	3	0	0	0	3	0	0	61	0	0	2	0	0	0	0	0	0	151.5	0	0	0	0	97	0	0	0	0	3	0	0	0	0	0	0	67	0
