"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Juglans"	"Juniperus"	"Myrica"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
26142	45377	"Mustjärve bog"	59.075	24.1	195	"AWI"	195	2423	3486	2874	1	156	1	0	9	0	351	0	0	0	0	0	0	39	8	0	0	101	0	0	0	3	0	1	0	0	2	226	195	0	0	0	0	0	0	39	0	0	0	1	0	0	0	0	14	12	0	0
26142	45377	"Mustjärve bog"	59.075	24.1	200	"AWI"	200	2455	3697	2956	0	180	1	0	4	0	438	0	0	0	0	0	0	34	13	0	0	71	0	0	0	8	0	1	0	0	3	133	153	0	0	0	0	0	0	29	0	0	0	0	0	4	0	0	7	14	1	0
26142	45377	"Mustjärve bog"	59.075	24.1	205	"AWI"	205	2483	3907	3032	0	200	0	0	4	0	361	0	0	0	0	0	0	33	7	0	0	0	0	0	0	6	0	0	0	0	0	166	214	0	0	0	0	0	0	22	0	0	0	0	0	3	0	0	1	13	0	0
26142	45377	"Mustjärve bog"	59.075	24.1	210	"AWI"	210	2559	4020	3112	0	241	0	0	3	0	410	0	0	0	0	0	0	34	18	0	0	0	0	1	0	33	0	0	0	0	1	53	196	0	0	0	0	0	0	19	0	0	0	0	0	5	0	0	10	8	3	0
26142	45377	"Mustjärve bog"	59.075	24.1	215	"AWI"	215	2626	4088	3205	0	250	1	0	4	0	401	0	0	0	0	0	0	54	6	0	0	0	0	1	0	5	0	0	0	0	2	115	123	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	14	18	0	0
26142	45377	"Mustjärve bog"	59.075	24.1	220	"AWI"	220	2678	4171	3299	0	231	0	0	3	0	171	0	0	0	0	0	0	38	16	0	0	0	0	0	0	9	0	2	0	0	2	391	115	0	0	0	0	0	0	16	0	0	0	0	0	1	0	0	8	26	2	0
26142	45377	"Mustjärve bog"	59.075	24.1	225	"AWI"	225	2727	4271	3383	0	145	0	0	5	0	271	0	0	0	0	0	0	27	11	0	0	53	0	0	0	5	0	1	0	0	3	377	133	0	0	0	1	0	0	13	0	0	0	0	0	0	0	0	14	22	0	0
26142	45377	"Mustjärve bog"	59.075	24.1	230	"AWI"	230	2759	4432	3472	0	163	1	0	5	0	326	0	0	0	0	0	0	49	10	0	0	0	0	0	0	22	0	0	0	0	3	190	153	0	0	0	0	0	0	52	0	0	0	1	0	3	0	1	10	31	2	0
26142	45377	"Mustjärve bog"	59.075	24.1	235	"AWI"	235	2825	4530	3556	0	198	1	0	11	0	279	0	0	0	0	0	0	66	15	0	0	0	0	0	0	37	0	1	0	0	0	182	183	0	0	0	1	0	0	47	0	0	0	0	0	2	0	0	13	29	0	0
26142	45377	"Mustjärve bog"	59.075	24.1	240	"AWI"	240	2915	4589	3646	0	260	1	0	7	0	323	0	0	0	0	0	0	56	18	0	0	0	0	0	1	21	0	4	0	0	2	92	153	0	0	0	0	0	0	42	0	0	0	1	0	3	0	0	12	37	2	0
26142	45377	"Mustjärve bog"	59.075	24.1	245	"AWI"	245	2991	4660	3740	0	226	0	2	5	0	308	0	0	0	0	0	0	67	8	0	0	0	0	1	0	20	0	0	0	0	0	118	155	0	0	0	0	0	0	30	0	0	0	0	0	3	0	0	22	51	1	0
26142	45377	"Mustjärve bog"	59.075	24.1	250	"AWI"	250	3050	4725	3836	0	151	0	0	5	0	296	0	0	0	0	0	0	52	21	0	0	0	0	1	0	20	0	0	0	0	5	233	177	0	0	0	0	0	0	36	0	0	0	0	0	4	0	0	15	22	0	0
26142	45377	"Mustjärve bog"	59.075	24.1	255	"AWI"	255	3111	4833	3921	0	295	2	0	4	0	282	0	0	0	0	0	0	64	5	0	0	0	0	1	0	7	0	0	0	0	1	141	130	0	0	0	1	0	0	31	0	0	0	0	0	6	0	0	13	25	0	0
26142	45377	"Mustjärve bog"	59.075	24.1	260	"AWI"	260	3172	4930	4006	0	274	1	0	3	0	422	0	0	0	0	1	0	39	31	0	0	0	0	0	0	13	0	2	0	0	0	76	101	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	11	38	0	1
26142	45377	"Mustjärve bog"	59.075	24.1	265	"AWI"	265	3251	4974	4089	0	198	1	1	6	0	236	0	0	0	0	0	1	60	11	0	0	380	0	0	0	8	0	0	0	0	0	253	152	0	0	0	0	0	0	30	0	0	0	1	0	0	0	0	23	42	0	0
26142	45377	"Mustjärve bog"	59.075	24.1	270	"AWI"	270	3308	5018	4178	0	232	1	0	4	0	278	0	0	0	0	0	1	68	24	0	0	0	0	0	0	8	0	0	0	0	0	205	146	0	0	0	0	0	0	40	0	0	0	0	0	1	0	1	22	23	2	0
26142	45377	"Mustjärve bog"	59.075	24.1	275	"AWI"	275	3386	5097	4259	0	172	1	0	4	0	180	0	0	0	0	0	0	69	3	0	0	0	0	0	3	29	0	1	0	0	0	321	121	0	0	0	0	0	0	29	0	0	0	0	0	1	0	0	31	44	0	0
