"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Grossulariaceae"	"Hypericaceae"	"Ilex"	"Juglans"	"Lamiaceae"	"Nartheciaceae"	"Orobanchaceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
11582	17344	"Diheen"	52.369384	-8.170892	119	"AWI"	119	525	661	568	0	7.22610722610723	0	0.233100233100233	0	0	0	2.56410256410256	0	1.16550116550117	0	0	0	0	18.6480186480186	2.33100233100233	0	0	0	0.466200466200466	0	0	0	0	0	0.233100233100233	0	0	0.466200466200466	1.63170163170163	55.7109557109557	0	4.66200466200466	0.233100233100233	0	3.4965034965035	0	0.233100233100233	0	0	0	0	0	0.699300699300699	0
11582	17344	"Diheen"	52.369384	-8.170892	122	"AWI"	122	536	674	580	0	13.7055837563452	0	0	0.50761421319797	0.50761421319797	0	7.61421319796954	0	2.53807106598985	0	0	0	0	44.1624365482233	3.55329949238579	0	0	0	0.50761421319797	0	0	0	0	0	1.52284263959391	0	0	1.01522842639594	0	0	0	6.5989847715736	0	11.1675126903553	3.55329949238579	0	0.50761421319797	0	0	0	0	0	2.53807106598985	0
11582	17344	"Diheen"	52.369384	-8.170892	125	"AWI"	125	546	686	590	0	14.4927536231884	0	1.65631469979296	0	0.41407867494824	0	3.31262939958592	0	1.65631469979296	0	0	0.41407867494824	0	38.0952380952381	11.5942028985507	0	0	0	0	0	0	0	0	0	0	0	0	1.44927536231884	4.1407867494824	0	0	10.351966873706	3.31262939958592	0	3.31262939958592	0	3.31262939958592	0	0	0	0	0	1.65631469979296	0.82815734989648
11582	17344	"Diheen"	52.369384	-8.170892	128	"AWI"	128	555	699	599	0	7.59803921568627	0	0.980392156862745	0	0.245098039215686	0	2.94117647058824	0	0.490196078431373	0	0	0	0	25.4901960784314	2.20588235294118	0	0	0	0.245098039215686	0	0	0	0	0	0.245098039215686	0	0	0.735294117647059	2.20588235294118	50	0.245098039215686	2.69607843137255	0.245098039215686	0	1.22549019607843	0	0.980392156862745	0	0	0.490196078431373	0	0	0.735294117647059	0
11582	17344	"Diheen"	52.369384	-8.170892	132	"AWI"	132	567	716	613	0	13.0801687763713	0	1.26582278481013	0.421940928270042	0	0	2.9535864978903	0	1.68776371308017	0	0	0.421940928270042	0	50.6329113924051	3.37552742616034	0	0	0	0	0	0	0	0	0	0	0	0	1.68776371308017	5.48523206751055	0	0	5.06329113924051	0	6.32911392405063	4.64135021097046	0	1.26582278481013	0	0	0	0	0	1.68776371308017	0
11582	17344	"Diheen"	52.369384	-8.170892	134	"AWI"	134	573	725	620	0	13.5064935064935	0.519480519480519	0	0	0	0	1.55844155844156	0	3.63636363636364	0	0	0.519480519480519	0	57.1428571428571	2.07792207792208	0	0	0	1.55844155844156	0	0.519480519480519	0	0	0	0.519480519480519	0	0	0.779220779220779	5.19480519480519	0	0.519480519480519	6.23376623376623	0	0	5.19480519480519	0	0	0	0	0	0	0	0.519480519480519	0
11582	17344	"Diheen"	52.369384	-8.170892	138	"AWI"	138	585	742	634	0	13.1416837782341	0.410677618069815	2.46406570841889	0	0.410677618069815	0	4.92813141683778	0	1.23203285420945	0	0	0	0	41.4784394250513	5.3388090349076	0	0	0.410677618069815	1.23203285420945	0	0	0	0	0	0.410677618069815	0	0	0.616016427104723	5.3388090349076	0	0	5.3388090349076	2.05338809034908	6.98151950718686	4.10677618069815	0	2.05338809034908	0	0.410677618069815	1.23203285420945	0	0	0.410677618069815	0
11582	17344	"Diheen"	52.369384	-8.170892	142	"AWI"	142	595	759	647	0	10.3225806451613	0	0	0	0.860215053763441	0	4.73118279569892	0	3.01075268817204	0	0	0	0	57.2043010752688	3.87096774193548	0	0	0	0.43010752688172	0	0	0	0	0	0	0	0	0.645161290322581	2.58064516129032	0	0	4.3010752688172	0.43010752688172	0	4.3010752688172	6.02150537634409	0.43010752688172	0	0	0.43010752688172	0	0	0.43010752688172	0
11582	17344	"Diheen"	52.369384	-8.170892	145	"AWI"	145	604	772	657	0	9.12863070539419	0	2.9045643153527	0	0.4149377593361	0	3.3195020746888	0	2.0746887966805	0	0	0.4149377593361	0	41.49377593361	11.2033195020747	0	0	0	1.2448132780083	0	0	0	0	0	0.4149377593361	0	0	1.2448132780083	6.22406639004149	0	0	10.3734439834025	2.0746887966805	0	3.3195020746888	0	2.0746887966805	0	0	0.829875518672199	0	0	1.2448132780083	0
11582	17344	"Diheen"	52.369384	-8.170892	148	"AWI"	148	614	784	667	0	6.27027027027027	0	1.51351351351351	0	0	0	1.08108108108108	0	1.51351351351351	0	0.432432432432432	0	0	26.1621621621622	3.67567567567568	0	0	0	0.648648648648649	0	0	0	0	0	0	0	0	0.324324324324324	3.89189189189189	43.027027027027	0	4.54054054054054	0.216216216216216	1.51351351351351	1.51351351351351	1.51351351351351	0.864864864864865	0	0.216216216216216	0.216216216216216	0	0	0.864864864864865	0
11582	17344	"Diheen"	52.369384	-8.170892	151	"AWI"	151	622	797	678	0	12.5	0	1.13636363636364	0	0	0	4.54545454545455	0	1.13636363636364	0	0	0	0	49.6212121212121	6.81818181818182	0	0	0	1.13636363636364	0	0	0	0	0	1.13636363636364	0	0	1.13636363636364	5.3030303030303	0	0	8.71212121212121	1.89393939393939	0	1.89393939393939	0	0.378787878787879	0	0	1.13636363636364	0	0	1.51515151515152	0
11582	17344	"Diheen"	52.369384	-8.170892	154	"AWI"	154	631	809	688	0	9.23076923076923	0	2.1978021978022	0	0	0	6.59340659340659	0	2.63736263736264	0	0	0.43956043956044	0	49.2307692307692	4.83516483516484	0	0	0	1.75824175824176	0	0	0	0	0	0	0	0	0.659340659340659	7.91208791208791	0	0	7.91208791208791	0.879120879120879	0	2.63736263736264	0	1.31868131868132	0	0	0.43956043956044	0	0.43956043956044	0.879120879120879	0
11582	17344	"Diheen"	52.369384	-8.170892	159	"AWI"	159	647	828	705	0	16.6292134831461	0.898876404494382	0.898876404494382	0	0	0	4.9438202247191	0	3.14606741573034	0	0	0.449438202247191	0	50.3370786516854	4.49438202247191	0	0	0	1.79775280898876	0	0	0	0	0	0.898876404494382	0	0	0.674157303370786	0	0	0	8.08988764044944	0.449438202247191	0	2.69662921348315	0	0.449438202247191	0	0	0.898876404494382	0	0	2.24719101123596	0
11582	17344	"Diheen"	52.369384	-8.170892	164	"AWI"	164	662	849	722	0	10.4046242774566	0.385356454720617	3.46820809248555	0.385356454720617	0.770712909441233	0	4.23892100192678	0	1.54142581888247	0	0	0	0	47.7842003853565	5.39499036608863	0	0	0	0.770712909441233	0	0	0	0	0	0.385356454720617	0	0	0.578034682080925	7.70712909441233	0	0	2.69749518304432	1.54142581888247	6.9364161849711	2.3121387283237	0	1.92678227360308	0	0	0	0	0	0.770712909441233	0
11582	17344	"Diheen"	52.369384	-8.170892	167	"AWI"	167	671	860	733	0	6.5	0.25	2.75	0	0.25	0	2.75	0	1.25	0	0.5	0.25	0	19.75	4	0	0	0	1	0	0	0	0	0	0	0	0	0.25	6.5	43.25	0	4.5	2	0	2.75	0	0	0	0	0.25	0	0	1	0.25
11582	17344	"Diheen"	52.369384	-8.170892	170	"AWI"	170	680	872	743	0	8.65800865800866	1.2987012987013	5.62770562770563	0	0	0	3.03030303030303	0	2.5974025974026	0	0	0.865800865800866	0	41.5584415584416	6.49350649350649	0	0	0	0	0	0	0.865800865800866	0	0.865800865800866	0.432900432900433	0	0	0.865800865800866	8.65800865800866	0	0	8.65800865800866	2.5974025974026	0	2.16450216450216	0	2.16450216450216	0	0	0	0	0	2.5974025974026	0
11582	17344	"Diheen"	52.369384	-8.170892	172	"AWI"	172	686	879	750	0	11.2970711297071	0	3.34728033472803	0	0	0	2.51046025104602	0	3.34728033472803	0	0	2.09205020920502	0	38.0753138075314	10.8786610878661	0	0	0	0.836820083682008	0	0	0	0	0	1.25523012552301	0	0	1.25523012552301	9.20502092050209	0	0	7.94979079497908	1.67364016736402	0	4.18410041841004	0	0.418410041841004	0	0	0	0	0	1.67364016736402	0
11582	17344	"Diheen"	52.369384	-8.170892	175.5	"AWI"	175.5	697	890.5	762	0	10.7883817427386	0.829875518672199	6.22406639004149	0	0.4149377593361	0	3.3195020746888	0	2.0746887966805	0	0	0.829875518672199	0	34.4398340248963	8.29875518672199	0	0	0	0.4149377593361	0	0	0	0	0	0	0	0	0.829875518672199	9.54356846473029	0	0	4.149377593361	1.2448132780083	11.2033195020747	2.9045643153527	0	0.829875518672199	0	0	0.4149377593361	0	0	1.2448132780083	0
11582	17344	"Diheen"	52.369384	-8.170892	177	"AWI"	177	702	896	767	0	13.671875	0.390625	5.46875	0	0.390625	0	3.515625	0	1.953125	0	0	0	0	33.59375	7.03125	0	0	0	1.5625	0	0	0	0	0	0	0	0	1.171875	9.375	0	0	7.421875	1.953125	8.203125	3.125	0	0.390625	0	0.390625	0	0	0	0.390625	0
