"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Crataegus"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Ilex"	"Indeterminable"	"Lamiaceae"	"Myrica"	"Nartheciaceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygalaceae"	"Polygonaceae"	"Pterocarya"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Verbenaceae"
9698	14289	"Lough Camclaun"	52.19429	-10.166208	480	"AWI"	480	5138	6706	5946	0	11	1	0	0	0	0	46	0	0	0	0	14	0	17	19	0	0	0	1	0	0	2	0	4	0	10	0	0	0	100	0	0	0	0	0	0	49	0	0	0	3	3	0	0	0	0	7	0	0
9698	14289	"Lough Camclaun"	52.19429	-10.166208	490	"AWI"	490	5292	6767	6072	0	9	1	7	2	0	0	30	0	0	0	1	7	0	42	13	0	0	0	0	0	0	5	0	10	0	5	0	0	0	56	5	0	0	0	0	0	40	0	0	0	3	4	0	0	0	0	8	2	0
9698	14289	"Lough Camclaun"	52.19429	-10.166208	500	"AWI"	500	5402	6853	6208	0	10	1	3	0	0	0	31	0	0	0	1	11	0	26	0	0	0	0	1	0	0	7	1	4	0	18	0	0	0	91	0	0	0	0	0	0	29	0	0	1	0	3	0	0	0	0	14	0	0
9698	14289	"Lough Camclaun"	52.19429	-10.166208	510	"AWI"	510	5533	6961	6328	0	13	0	1	0	0	0	38	0	0	0	0	10	0	27	18	0	0	0	1	0	0	3	1	1	0	11	0	0	0	76	0	0	0	0	0	0	44	0	0	0	0	7	0	0	0	0	6	3	0
9698	14289	"Lough Camclaun"	52.19429	-10.166208	520	"AWI"	520	5700	7027	6454	0	10	0	3	0	0	0	38	0	0	0	0	5	0	31	27	0	0	0	2	0	0	2	0	6	0	5	0	0	0	84	0	0	0	0	0	0	39	0	0	0	2	6	0	0	0	0	7	0	0
9698	14289	"Lough Camclaun"	52.19429	-10.166208	530	"AWI"	530	5789	7140	6580	0	9	0	2	1	0	0	45	0	0	0	0	5	0	28	20	0	0	0	1	0	0	3	1	4	0	10	0	0	0	81	0	0	0	1	0	0	39	0	0	0	2	4	0	0	0	0	9	0	0
9698	14289	"Lough Camclaun"	52.19429	-10.166208	540	"AWI"	540	5978	7210	6701	0	9	0	2	1	0	0	34	0	0	0	0	13	0	17	13	0	0	0	2	0	0	1	0	0	0	3	0	0	0	99	0	0	0	2	0	0	58	0	0	0	0	2	0	0	0	0	16	0	0
9698	14289	"Lough Camclaun"	52.19429	-10.166208	550	"AWI"	550	6138	7260	6828	0	14	0	4	0	0	0	28	0	1	0	0	20	0	12	0	0	0	0	1	0	0	8	1	2	0	19	0	0	0	92	0	0	0	0	0	0	42	0	0	0	0	7	0	0	0	0	10	0	0
9698	14289	"Lough Camclaun"	52.19429	-10.166208	560	"AWI"	560	6275	7351	6953	0	7	0	5	0	0	0	53	0	1	0	0	11	0	12	0	0	0	0	2	0	0	6	0	2	0	13	0	0	0	82	0	0	0	0	0	0	54	0	0	0	1	4	0	0	0	0	12	0	0
9698	14289	"Lough Camclaun"	52.19429	-10.166208	570	"AWI"	570	6561	7393	7060	0	5	0	7	1	0	0	35	0	0	0	0	19	0	37	0	0	0	0	0	0	0	6	1	5	0	4	1	0	0	76	0	0	0	3	0	0	41	0	0	0	3	7	0	0	0	0	8	1	0
9698	14289	"Lough Camclaun"	52.19429	-10.166208	580	"AWI"	580	6750	7452	7181	0	5	0	10	1	0	0	38	0	0	0	0	36	0	28	0	0	0	0	0	0	0	7	1	4	0	4	0	0	0	91	0	0	0	0	0	0	29	0	0	0	3	8	0	0	0	0	6	0	0
9698	14289	"Lough Camclaun"	52.19429	-10.166208	590	"AWI"	590	6857	7527	7274	0	7	0	8	4	0	0	33	0	0	0	0	35	0	29	0	0	0	0	1	0	0	7	0	3	0	3	1	0	0	91	0	0	0	0	0	0	31	0	0	0	1	8	0	0	0	0	8	0	0
9698	14289	"Lough Camclaun"	52.19429	-10.166208	600	"AWI"	600	6949	7579	7320	0	2	0	7	3	0	0	34	0	0	0	0	22	0	33	0	0	0	0	1	0	0	5	1	4	0	6	1	0	0	78	0	0	0	0	0	0	29	0	0	0	3	4	0	1	0	0	12	0	0
9698	14289	"Lough Camclaun"	52.19429	-10.166208	610	"AWI"	610	7016	7650	7368	0	5	0	4	1	0	0	45	1	0	0	0	23	0	19	0	0	0	0	0	0	0	6	0	3	0	7	0	0	0	83	0	0	0	0	0	0	42	0	4	0	4	7	0	2	0	0	9	0	0
9698	14289	"Lough Camclaun"	52.19429	-10.166208	620	"AWI"	620	7103	7702	7409	0	4	0	4	0	0	0	31	0	0	0	1	51	0	14	6	0	0	0	1	0	0	2	0	4	0	14	0	0	0	85	0	0	0	0	0	0	42	0	0	0	0	6	0	2	0	0	12	0	0
