# Command file for Castanea
# Generated on Rstudio by user vandermeersch, on the 2023-10-09

# The filenames below are relative to the folder containing this command file
castaneaFileName	=	aalba_subset1_rep1.txt
inventoryFileName	=	C:/Users/vandermeersch/Documents/CEFE/phd/castanea/run/inventory.txt

climateBaseName	=	D:/climate/ERA5-Land/castanea_format/
climateExtension	=	.txt
simulationName	=	ind1_


#	siteId	gridName	latitude	longitude	soilHeight	stone	wfc	wilt	bulk	SOLCLAYtop	SOLCLAYsol	SOLFINtop	SOLFINsol	SOLSANDtop	SOLSANDsol	numberOfYears
131	58195	50.1	17.8	200	0.104	0.307	0.163	1.547	0.184	0.211	0.744	0.736	0.256	0.264	30
132	58196	50.1	17.9	200	0.095	0.301	0.155	1.545	0.182	0.208	0.735	0.727	0.265	0.273	30
133	58197	50.1	18	200	0.086	0.296	0.153	1.543	0.182	0.208	0.713	0.704	0.287	0.296	30
134	58198	50.1	18.1	200	0.075	0.29	0.149	1.544	0.179	0.203	0.685	0.675	0.314	0.325	30
135	58199	50.1	18.2	200	0.068	0.289	0.149	1.542	0.193	0.211	0.638	0.624	0.362	0.376	30
136	58200	50.1	18.3	200	0.087	0.283	0.142	1.54	0.166	0.185	0.554	0.539	0.446	0.461	30
137	58201	50.1	18.4	199.992105375072	0.1	0.274	0.132	1.538	0.153	0.172	0.508	0.492	0.492	0.508	30
138	58202	50.1	18.5	199.994942432491	0.098	0.281	0.134	1.531	0.154	0.171	0.47	0.455	0.53	0.544	30
139	58203	50.1	18.6	199.999183890336	0.095	0.27	0.123	1.529	0.141	0.159	0.459	0.446	0.541	0.553	30
140	58204	50.1	18.7	199.998230789885	0.094	0.261	0.113	1.531	0.127	0.145	0.436	0.424	0.564	0.576	30
141	58205	50.1	18.8	199.999091931687	0.096	0.262	0.115	1.536	0.127	0.146	0.448	0.436	0.552	0.564	30
142	58206	50.1	18.9	199.999950072395	0.099	0.255	0.106	1.528	0.107	0.124	0.376	0.364	0.623	0.636	30
143	58207	50.1	19	199.995592759515	0.096	0.268	0.122	1.525	0.116	0.131	0.383	0.37	0.617	0.63	30
144	58208	50.1	19.1	200	0.081	0.274	0.13	1.527	0.132	0.148	0.434	0.422	0.565	0.578	30
