# Command file for Castanea
# Generated on Rstudio by user vandermeersch, on the 2022-12-19

# The filenames below are relative to the folder containing this command file
castaneaFileName	=	CastaneaSpecies_08_2021.txt
inventoryFileName	=	C:/Users/vandermeersch/Documents/CEFE/thesis/castanea/run/inventory.txt

climateBaseName	=	D:/climate/ERA5-Land/castanea_format/
climateExtension	=	.txt
simulationName	=	ind1_


#	siteId	gridName	latitude	longitude	soilHeight	stone	wfc	wilt	bulk	SOLCLAYtop	SOLCLAYsol	SOLFINtop	SOLFINsol	SOLSANDtop	SOLSANDsol	numberOfYears
101	41138	54.2	22.1	199.989032373443	0.075	0.277	0.107	1.469	0.1	0.115	0.355	0.353	0.645	0.647	30
102	41139	54.2	22.2	199.995716170466	0.076	0.281	0.111	1.463	0.104	0.118	0.368	0.367	0.632	0.633	30
103	41140	54.2	22.3	199.999623203564	0.086	0.291	0.116	1.471	0.117	0.131	0.417	0.414	0.583	0.586	30
104	41141	54.2	22.4	199.999906565953	0.078	0.291	0.115	1.448	0.113	0.125	0.413	0.409	0.587	0.591	30
105	41142	54.2	22.5	199.999709886695	0.078	0.296	0.119	1.468	0.109	0.12	0.395	0.389	0.605	0.611	30
106	41143	54.2	22.6	199.991704006885	0.081	0.293	0.116	1.461	0.105	0.115	0.392	0.387	0.607	0.613	30
107	41144	54.2	22.7	199.998140838988	0.083	0.296	0.118	1.464	0.103	0.114	0.394	0.388	0.606	0.612	30
108	41145	54.2	22.8	199.99820974983	0.086	0.294	0.118	1.473	0.107	0.12	0.405	0.4	0.595	0.6	30
109	41146	54.2	22.9	199.994538489273	0.087	0.293	0.119	1.473	0.111	0.124	0.402	0.398	0.597	0.602	30
110	41147	54.2	23	199.999212479889	0.08	0.298	0.121	1.46	0.116	0.13	0.404	0.402	0.595	0.598	30
111	41148	54.2	23.1	199.998366957139	0.075	0.295	0.117	1.449	0.109	0.124	0.381	0.38	0.619	0.62	30
112	41149	54.2	23.2	199.842884032132	0.072	0.293	0.115	1.426	0.089	0.103	0.332	0.33	0.667	0.67	30
113	41150	54.2	23.3	199.991037554834	0.07	0.3	0.118	1.433	0.095	0.108	0.363	0.362	0.637	0.638	30
114	41151	54.2	23.4	199.996676623781	0.077	0.296	0.116	1.429	0.098	0.109	0.353	0.349	0.647	0.651	30
115	41152	54.2	23.5	199.999964633071	0.07	0.287	0.115	1.469	0.109	0.121	0.387	0.385	0.613	0.615	30
116	41153	54.2	23.6	199.979585286608	0.077	0.288	0.113	1.479	0.105	0.117	0.373	0.367	0.627	0.632	30
117	41154	54.2	23.7	199.953018514863	0.078	0.29	0.114	1.47	0.102	0.113	0.367	0.363	0.633	0.637	30
118	41155	54.2	23.8	199.910830595093	0.08	0.29	0.115	1.499	0.103	0.114	0.363	0.357	0.637	0.643	30
119	41156	54.2	23.9	199.973073693613	0.081	0.288	0.114	1.498	0.092	0.106	0.329	0.323	0.672	0.678	30
120	41157	54.2	24	199.866116184927	0.086	0.287	0.111	1.497	0.089	0.102	0.345	0.338	0.655	0.662	30
121	41158	54.2	24.1	199.958562050744	0.085	0.286	0.109	1.504	0.08	0.09	0.31	0.303	0.69	0.697	30
122	41159	54.2	24.2	199.990053953513	0.083	0.285	0.11	1.5	0.072	0.084	0.283	0.276	0.716	0.723	30
123	41160	54.2	24.3	199.994339229774	0.081	0.28	0.11	1.507	0.071	0.085	0.264	0.259	0.736	0.741	30
