# Command file for Castanea
# Generated on Rstudio by user vandermeersch, on the 2023-10-26

# The filenames below are relative to the folder containing this command file
castaneaFileName	=	qpetraea_subset1_rep1.txt
inventoryFileName	=	C:/Users/vandermeersch/Documents/CEFE/phd/castanea/run/inventory.txt

climateBaseName	=	D:/climate/ERA5-Land/castanea_format/
climateExtension	=	.txt
simulationName	=	ind1_


#	siteId	gridName	latitude	longitude	soilHeight	stone	wfc	wilt	bulk	SOLCLAYtop	SOLCLAYsol	SOLFINtop	SOLFINsol	SOLSANDtop	SOLSANDsol	numberOfYears
201	79650	44.7	10.8	200	0.08	0.326	0.198	1.508	0.285	0.288	0.735	0.721	0.265	0.279	30
202	79651	44.7	10.9	200	0.074	0.326	0.198	1.505	0.288	0.289	0.734	0.718	0.266	0.282	30
203	79652	44.7	11	200	0.074	0.329	0.202	1.504	0.289	0.29	0.737	0.722	0.262	0.278	30
204	79653	44.7	11.1	200	0.076	0.331	0.205	1.505	0.296	0.296	0.749	0.734	0.25	0.266	30
205	79654	44.7	11.2	200	0.072	0.336	0.211	1.507	0.302	0.301	0.753	0.737	0.247	0.263	30
206	79655	44.7	11.3	200	0.071	0.326	0.197	1.509	0.289	0.29	0.745	0.729	0.255	0.271	30
207	79656	44.7	11.4	200	0.075	0.33	0.201	1.511	0.286	0.289	0.738	0.722	0.262	0.278	30
208	79657	44.7	11.5	200	0.079	0.336	0.201	1.511	0.29	0.29	0.739	0.721	0.261	0.279	30
209	79658	44.7	11.6	200	0.08	0.339	0.199	1.512	0.29	0.288	0.741	0.722	0.259	0.278	30
210	79659	44.7	11.7	200	0.079	0.343	0.202	1.512	0.296	0.291	0.749	0.73	0.251	0.27	30
