"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Agathis"	"Arecaceae"	"Casuarinaceae"	"Cunoniaceae"	"Dacrydium"	"Elaeocarpaceae"	"Eucalyptus"	"Myrtaceae"	"Phyllocladus"	"Poaceae"	"Podocarpus"	"Rutaceae"	"Urticaceae"
1628	1683	"Lynch's Crater"	-17.3667	145.6881	2450	"AWI"	2450	74434	87312	80597	1.73913043478261	22.6086956521739	4.34782608695652	7.82608695652174	11.304347826087	11.304347826087	1.73913043478261	13.0434782608696	0.869565217391304	0	13.0434782608696	0	12.1739130434783
1628	1683	"Lynch's Crater"	-17.3667	145.6881	2475	"AWI"	2475	75087	88070	81315	0	52.3364485981308	1.86915887850467	8.41121495327103	3.73831775700935	5.60747663551402	0.934579439252336	19.6261682242991	0	0.934579439252336	1.86915887850467	0.934579439252336	3.73831775700935
1628	1683	"Lynch's Crater"	-17.3667	145.6881	2500	"AWI"	2500	75519	89029	82038	0.833333333333333	30.8333333333333	5.83333333333333	9.16666666666667	9.16666666666667	10	3.33333333333333	11.6666666666667	0	3.33333333333333	5	0	10.8333333333333
1628	1683	"Lynch's Crater"	-17.3667	145.6881	2525	"AWI"	2525	76000	90013	82718	0	31.8181818181818	1.81818181818182	12.7272727272727	3.63636363636364	20	1.81818181818182	19.0909090909091	0	3.63636363636364	2.72727272727273	0.909090909090909	1.81818181818182
1628	1683	"Lynch's Crater"	-17.3667	145.6881	2550	"AWI"	2550	76987	90577	83426	0.925925925925926	37.962962962963	0.925925925925926	16.6666666666667	3.7037037037037	10.1851851851852	1.85185185185185	20.3703703703704	0	0.925925925925926	0.925925925925926	0.925925925925926	4.62962962962963
1628	1683	"Lynch's Crater"	-17.3667	145.6881	2575	"AWI"	2575	77683	91302	84129	0.87719298245614	40.3508771929825	3.50877192982456	14.0350877192982	1.75438596491228	13.1578947368421	1.75438596491228	14.9122807017544	0	0.87719298245614	1.75438596491228	4.3859649122807	2.63157894736842
1628	1683	"Lynch's Crater"	-17.3667	145.6881	2600	"AWI"	2600	78208	92150	84899	1.65289256198347	34.7107438016529	1.65289256198347	18.1818181818182	0.826446280991736	19.8347107438017	4.95867768595041	13.2231404958678	0	1.65289256198347	0.826446280991736	0.826446280991736	1.65289256198347
1628	1683	"Lynch's Crater"	-17.3667	145.6881	2625	"AWI"	2625	78679	93248	85631	0	39.344262295082	0.819672131147541	18.0327868852459	1.63934426229508	11.4754098360656	1.63934426229508	15.5737704918033	0	1.63934426229508	0	4.91803278688525	4.91803278688525
1628	1683	"Lynch's Crater"	-17.3667	145.6881	2650	"AWI"	2650	79580	93916	86349	0	29.6610169491525	1.69491525423729	20.3389830508475	1.69491525423729	16.9491525423729	0.847457627118644	19.4915254237288	0	0.847457627118644	0.847457627118644	3.38983050847458	4.23728813559322
1628	1683	"Lynch's Crater"	-17.3667	145.6881	2675	"AWI"	2675	80335	94778	87137	3.37078651685393	42.6966292134831	3.37078651685393	6.74157303370786	2.24719101123596	8.98876404494382	7.86516853932584	11.2359550561798	0	1.12359550561798	0	1.12359550561798	11.2359550561798
1628	1683	"Lynch's Crater"	-17.3667	145.6881	2700	"AWI"	2700	80844	95844	87885	4.90196078431373	35.2941176470588	2.94117647058824	6.86274509803922	2.94117647058824	4.90196078431373	4.90196078431373	14.7058823529412	0	3.92156862745098	5.88235294117647	3.92156862745098	8.82352941176471
1628	1683	"Lynch's Crater"	-17.3667	145.6881	2725	"AWI"	2725	81337	97160	88600	1.0752688172043	36.5591397849462	3.2258064516129	4.3010752688172	2.1505376344086	4.3010752688172	11.8279569892473	9.67741935483871	0	3.2258064516129	3.2258064516129	2.1505376344086	18.2795698924731
1628	1683	"Lynch's Crater"	-17.3667	145.6881	2750	"AWI"	2750	81966	97961	89355	6.48148148148148	24.0740740740741	4.62962962962963	2.77777777777778	14.8148148148148	6.48148148148148	4.62962962962963	12.037037037037	0	0.925925925925926	11.1111111111111	3.7037037037037	8.33333333333333
1628	1683	"Lynch's Crater"	-17.3667	145.6881	2775	"AWI"	2775	82595	98777	90089	8.62068965517241	30.1724137931034	3.44827586206897	4.31034482758621	9.48275862068965	2.58620689655172	5.17241379310345	16.3793103448276	0	1.72413793103448	6.89655172413793	0	11.2068965517241
1628	1683	"Lynch's Crater"	-17.3667	145.6881	2800	"AWI"	2800	83144	99703	90811	4.08163265306122	33.6734693877551	5.10204081632653	0	10.2040816326531	4.08163265306122	4.08163265306122	22.4489795918367	0	2.04081632653061	10.2040816326531	0	4.08163265306122
