"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Caprifoliaceae"	"Caryophyllaceae"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Indeterminable"	"Juniperus"	"Liliaceae"	"Onagraceae"	"Orobanchaceae"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polemoniaceae"	"Polygonaceae"	"Populus"	"Ranunculaceae"	"Rosaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Thalictrum"	"Viburnum"
513	527	"Crowsnest Lake"	68.33333	-146.48333	490	"AWI"	490	9885	11053	10342	0	0	5	0	153	0	1	0	91	8	0	0	6	1	1	1	0	0	14	0	0	9	0	0	3	2	0	0	12	0	0	0
513	527	"Crowsnest Lake"	68.33333	-146.48333	505	"AWI"	505	10045	11167	10476	0	0	5	0	173	0	0	0	102	6	0	0	2	1	0	2	1	0	6	0	0	9	0	0	0	0	0	0	20	0	0	0
513	527	"Crowsnest Lake"	68.33333	-146.48333	515	"AWI"	515	10135	11319	10592	0	0	0	0	104	0	0	0	165	5	0	0	2	0	0	0	0	0	3	0	0	7	0	0	1	0	0	0	7	0	0	0
513	527	"Crowsnest Lake"	68.33333	-146.48333	525	"AWI"	525	10246	11483	10733	0	0	1	0	79	0	0	0	130	3	0	0	8	0	0	0	0	0	1	0	0	14	0	0	0	0	0	0	7	0	0	0
513	527	"Crowsnest Lake"	68.33333	-146.48333	535	"AWI"	535	10330	11659	10892	0	0	0	0	165	0	0	0	88	1	0	0	0	2	1	0	0	0	0	0	0	9	0	0	0	0	0	0	11	0	0	0
513	527	"Crowsnest Lake"	68.33333	-146.48333	551	"AWI"	551	10510	11927	11143	0	0	5	0	181	0	1	0	105	7	0	0	1	4	0	0	0	0	1	0	0	10	0	0	8	0	0	0	18	0	0	0
513	527	"Crowsnest Lake"	68.33333	-146.48333	560	"AWI"	560	10596	12047	11295	0	0	6	0	161	0	0	0	122	15	0	1	8	0	1	0	0	0	3	0	0	9	0	0	4	0	0	0	16	0	0	0
513	527	"Crowsnest Lake"	68.33333	-146.48333	575	"AWI"	575	10789	12251	11520	0	0	3	0	83	0	1	0	107	2	0	0	1	0	1	0	0	0	2	0	0	21	0	0	1	0	0	0	9	0	0	0
513	527	"Crowsnest Lake"	68.33333	-146.48333	590	"AWI"	590	10974	12457	11745	0	0	2	0	165	0	0	0	107	20	0	0	0	0	0	0	0	0	0	0	0	6	0	0	2	0	0	0	4	0	0	0
513	527	"Crowsnest Lake"	68.33333	-146.48333	600	"AWI"	600	11119	12559	11892	0	0	2	0	148	0	3	0	114	0	0	0	4	1	0	0	0	0	1	0	0	36	0	0	0	0	0	0	2	0	0	1
513	527	"Crowsnest Lake"	68.33333	-146.48333	610	"AWI"	610	11252	12676	12031	0	0	1	0	186	0	0	0	101	1	0	0	2	0	0	0	0	0	1	0	0	10	0	0	5	0	0	0	11	0	0	0
513	527	"Crowsnest Lake"	68.33333	-146.48333	620	"AWI"	620	11419	12771	12182	0	0	0	0	114	0	0	0	201	1	0	0	4	0	0	0	0	0	1	0	0	13	0	0	1	0	0	0	6	0	0	0
513	527	"Crowsnest Lake"	68.33333	-146.48333	630	"AWI"	630	11540	12931	12333	0	1	0	0	87	0	0	0	102	4	0	0	3	0	0	0	0	0	0	0	0	18	0	0	2	0	0	0	6	0	0	0
513	527	"Crowsnest Lake"	68.33333	-146.48333	635	"AWI"	635	11604	13046	12402	0	0	5	0	86	0	1	0	98	2	0	0	3	0	0	0	0	0	1	0	0	9	0	0	0	0	0	0	6	0	0	0
513	527	"Crowsnest Lake"	68.33333	-146.48333	650	"AWI"	650	11746	13485	12592	0	0	1	0	69	0	2	0	63	38	0	0	2	1	0	1	0	0	1	0	0	16	1	0	0	0	0	0	5	0	0	1
