"cluster.id" "x" "y"
"23779.7" "clust.12" 16.195833 48.1625
"23777.10" "clust.12" 16.079167 48.17917
"23775.4" "clust.12" 16.204167 48.1875
"23772.11" "clust.12" 15.745833 48.27083
"23782.17" "clust.12" 14.7375 48.00417
"23782.18" "clust.12" 14.7375 48.00417
"23775.5" "clust.12" 16.204167 48.1875
"23931.9" "clust.12" 11.129167 46.70417
"23777.11" "clust.12" 16.079167 48.17917
"23775.6" "clust.12" 16.204167 48.1875
"23802.7" "clust.12" 16.329167 47.77917
"23777.12" "clust.12" 16.079167 48.17917
"23775.7" "clust.12" 16.204167 48.1875
"23777.13" "clust.12" 16.079167 48.17917
"23777.14" "clust.12" 16.079167 48.17917
"23931.10" "clust.12" 11.129167 46.70417
"23775.8" "clust.12" 16.204167 48.1875
"23779.8" "clust.12" 16.195833 48.1625
"23782.19" "clust.12" 14.7375 48.00417
"23779.9" "clust.12" 16.195833 48.1625
"23982" "clust.13" 5.6125 45.14583
"23982.1" "clust.13" 5.6125 45.14583
"24011" "clust.13" 6.5125 43.84583
"23982.2" "clust.13" 5.6125 45.14583
"23991" "clust.13" 5.5625 44.4625
"23991.1" "clust.13" 5.5625 44.4625
"24009" "clust.13" 7.604167 43.92917
"23995" "clust.13" 5.4875 44.2375
"24011.1" "clust.13" 6.5125 43.84583
"24011.2" "clust.13" 6.5125 43.84583
"23991.2" "clust.13" 5.5625 44.4625
"24007" "clust.13" 7.620833 43.9625
"24000" "clust.13" 7.104167 44.0875
"23991.3" "clust.13" 5.5625 44.4625
"24006" "clust.13" 7.545833 43.97917
"23991.4" "clust.13" 5.5625 44.4625
"24007.1" "clust.13" 7.620833 43.9625
"23995.1" "clust.13" 5.4875 44.2375
"24008" "clust.13" 6.554167 43.94583
"24008.1" "clust.13" 6.554167 43.94583
"23995.2" "clust.13" 5.4875 44.2375
"24009.1" "clust.13" 7.604167 43.92917
"23991.5" "clust.13" 5.5625 44.4625
"23991.6" "clust.13" 5.5625 44.4625
"24000.1" "clust.13" 7.104167 44.0875
"23991.7" "clust.13" 5.5625 44.4625
"23982.3" "clust.13" 5.6125 45.14583
"23995.3" "clust.13" 5.4875 44.2375
"24011.3" "clust.13" 6.5125 43.84583
"24011.4" "clust.13" 6.5125 43.84583
"24009.2" "clust.13" 7.604167 43.92917
"23995.4" "clust.13" 5.4875 44.2375
"24006.1" "clust.13" 7.545833 43.97917
"23991.8" "clust.13" 5.5625 44.4625
"24000.2" "clust.13" 7.104167 44.0875
"23991.9" "clust.13" 5.5625 44.4625
"24011.5" "clust.13" 6.5125 43.84583
"23991.10" "clust.13" 5.5625 44.4625
"23996" "clust.13" 6.9375 44.2375
"24000.3" "clust.13" 7.104167 44.0875
"24000.4" "clust.13" 7.104167 44.0875
"24007.2" "clust.13" 7.620833 43.9625
"24009.3" "clust.13" 7.604167 43.92917
"23995.5" "clust.13" 5.4875 44.2375
"24011.6" "clust.13" 6.5125 43.84583
"24000.5" "clust.13" 7.104167 44.0875
"24008.2" "clust.13" 6.554167 43.94583
"23982.4" "clust.13" 5.6125 45.14583
"24008.3" "clust.13" 6.554167 43.94583
"24011.7" "clust.13" 6.5125 43.84583
"24000.6" "clust.13" 7.104167 44.0875
"24006.2" "clust.13" 7.545833 43.97917
"23991.11" "clust.13" 5.5625 44.4625
"23982.5" "clust.13" 5.6125 45.14583
"23995.6" "clust.13" 5.4875 44.2375
"23996.1" "clust.13" 6.9375 44.2375
"24007.3" "clust.13" 7.620833 43.9625
"23996.2" "clust.13" 6.9375 44.2375
"24011.8" "clust.13" 6.5125 43.84583
"24008.4" "clust.13" 6.554167 43.94583
"24007.4" "clust.13" 7.620833 43.9625
"24007.5" "clust.13" 7.620833 43.9625
"24006.3" "clust.13" 7.545833 43.97917
"23995.7" "clust.13" 5.4875 44.2375
"23991.12" "clust.13" 5.5625 44.4625
"24007.6" "clust.13" 7.620833 43.9625
"23995.8" "clust.13" 5.4875 44.2375
"23982.6" "clust.13" 5.6125 45.14583
"24011.9" "clust.13" 6.5125 43.84583
"24000.7" "clust.13" 7.104167 44.0875
"23995.9" "clust.13" 5.4875 44.2375
"24006.4" "clust.13" 7.545833 43.97917
"24011.10" "clust.13" 6.5125 43.84583
"23996.3" "clust.13" 6.9375 44.2375
"23982.7" "clust.13" 5.6125 45.14583
"24009.4" "clust.13" 7.604167 43.92917
"24008.5" "clust.13" 6.554167 43.94583
"24011.11" "clust.13" 6.5125 43.84583
"24009.5" "clust.13" 7.604167 43.92917
"24009.6" "clust.13" 7.604167 43.92917
"23991.13" "clust.13" 5.5625 44.4625
"23770" "clust.15" 16.129167 48.44583
"23770.1" "clust.15" 16.129167 48.44583
"23770.2" "clust.15" 16.129167 48.44583
"23973" "clust.15" 10.854167 45.7875
"23770.3" "clust.15" 16.129167 48.44583
"23773" "clust.15" 16.2875 48.2375
"23773.1" "clust.15" 16.2875 48.2375
"23973.1" "clust.15" 10.854167 45.7875
"23770.4" "clust.15" 16.129167 48.44583
"23773.2" "clust.15" 16.2875 48.2375
"23773.3" "clust.15" 16.2875 48.2375
"23770.5" "clust.15" 16.129167 48.44583
"23773.4" "clust.15" 16.2875 48.2375
"23770.6" "clust.15" 16.129167 48.44583
"23973.2" "clust.15" 10.854167 45.7875
"23773.5" "clust.15" 16.2875 48.2375
"23773.6" "clust.15" 16.2875 48.2375
"23773.7" "clust.15" 16.2875 48.2375
"23973.3" "clust.15" 10.854167 45.7875
"23773.8" "clust.15" 16.2875 48.2375
"23770.7" "clust.15" 16.129167 48.44583
"23773.9" "clust.15" 16.2875 48.2375
"23770.8" "clust.15" 16.129167 48.44583
"23773.10" "clust.15" 16.2875 48.2375
"23770.9" "clust.15" 16.129167 48.44583
"23973.4" "clust.15" 10.854167 45.7875
"23773.11" "clust.15" 16.2875 48.2375
"23773.12" "clust.15" 16.2875 48.2375
"23973.5" "clust.15" 10.854167 45.7875
"23773.13" "clust.15" 16.2875 48.2375
"23773.14" "clust.15" 16.2875 48.2375
"23973.6" "clust.15" 10.854167 45.7875
"23973.7" "clust.15" 10.854167 45.7875
"23773.15" "clust.15" 16.2875 48.2375
"23773.16" "clust.15" 16.2875 48.2375
"23973.8" "clust.15" 10.854167 45.7875
"23770.10" "clust.15" 16.129167 48.44583
"23770.11" "clust.15" 16.129167 48.44583
"23773.17" "clust.15" 16.2875 48.2375
"24001" "clust.16" 7.5875 44.0875
"24002" "clust.16" 7.595833 44.0875
"23994" "clust.16" 7.304167 44.24583
"23961" "clust.16" 6.1375 46.09583
"23994.1" "clust.16" 7.304167 44.24583
"23994.2" "clust.16" 7.304167 44.24583
"23961.1" "clust.16" 6.1375 46.09583
"24002.1" "clust.16" 7.595833 44.0875
"24002.2" "clust.16" 7.595833 44.0875
"24002.3" "clust.16" 7.595833 44.0875
"23994.3" "clust.16" 7.304167 44.24583
"24001.1" "clust.16" 7.5875 44.0875
"24002.4" "clust.16" 7.595833 44.0875
"24001.2" "clust.16" 7.5875 44.0875
"23961.2" "clust.16" 6.1375 46.09583
"23994.4" "clust.16" 7.304167 44.24583
"24002.5" "clust.16" 7.595833 44.0875
